Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste (Curbside),Yard Waste (Dropoff), # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,Private Hauler regulations that require recycling,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2013,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Did your municipality host comprehensive household hazardous waste collection events in 2012?,How many events?,Regional,Reciprocal,Comments/Additional Information,
Salem,Julie Rose,13803,13765,13803,Curbside,,,Curbside,,,,,None,Yes,Yes,7,6,Both,Both,Both,Neither,,Yes,3,35,,Yes,,Yes,,Yes,Yes,,,,12024,Yes,,No,61.5,0,0,0,1764,1140,32,1,7,,,,,1600,42,1 or 2,1 or 2,Once a Month,Once a Month,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,1 or 2,Year Round,Yes,2,No,Yes,"1-Salem has a trash fee, picks up trash from 200 businesses; recycling from any business on a trash route
2-2013: two weeks of Xmas tree collection; plus 5 weeks of yard waste
  2014: two weeks of Xmas tree collection; plus 6 weeks of yard waste
3-mandatory recycling enforcement through DEP grant, runs out 12/14
4-household batteries refer to re-chargeable batteries
5-HHWD is in Salem the last Saturday in September; Beverly residents are included. Salem residents can go to the Beverly HHWD the fourth Saturday in April. Communities have a signed municipal agreement.",
SALISBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDISFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich,PAUL S. TILTON,8500,4800,4800,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Trash,Both,Yes,,,,,,,Yes,,Yes,No,Yes,,Yes,3042,No,200,Yes,37,,,,917,604,,341,105,,7,10,,5200,28,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,,
Saugus,Lorna L. Cerbone,9975,8758,8758,Curbside,,,Both,,,,,None,Yes,,6,,Both,Both,Neither,Neither,,Yes,3,42,Yes,Yes,Yes,,,,,Yes,,,7819,Yes,,Yes,68,,,,1149,856,,,,,,,,624,172060,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,Year Round,Yes,1,No,Yes,"There is no current tracking of items being diverted at the drop-of site which accept yard waste, brush, cardboard/paper, co-mingle containers, open to the public Wednesdays and Saturdays.  The yard/waste tonnage reflects the 4 weeks of curbside collection, which  is weighed and tipped at RESCO.

Recycling is not mandatory, however NO visible or suspected bags(we do open bags with mostly recycling and leave it behind) end up in the trash truck.",
Savoy,Sandy Totter,287,122,122,Drop-off,,,Drop-off,,,,,None,,Yes,,0,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,Yes,77,No,1,Yes,,,,,18,8,,19,,,,,,,3,0,1 or 2,1 or 2,1 or 2,0,0,1 or 2,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,Paint collection is in Cheshire at the NBSWMD shed.  There is no yard waste or Christmas tree program.,
Scituate,Kevin Cafferty,7600,5356,5356,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Recycling,Neither,Recycling,Neither,Yes,,,,,,,,,,,,Yes,,2995,No,2635,Yes,89.1,,,,1277,954,,274,150,,20,,,2000,88,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,1,Yes,Yes,yard waste is ana estimate,
Seekonk,Elizabeth Lamothe,5200,5033,5033,Curbside,,,Both,,,,,None,Yes,Yes,16,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,3065,Yes,,Yes,,708,,,4,,,,8,,,,,,,Year Round,Once a Month,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Yes,1,No,No,,
Sharon,Liz Curley,6348,4918,4918,Curbside,,,Curbside,Bi-weekly,Yes,Yes,95,None,Yes,Yes,9,20,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,4617,Yes,,Yes,34.77,1834,,,,,,,,,,,,856,,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Yes,1,No,No,,
Sheffield,Alicia Dulin,1549,818,832,Drop-off,,,Drop-off,,,,,None,,,,,Both,Recycling,Neither,Neither,,,,,,,,,,,,,,,541,Yes,,Yes,,,,,116,86,,28,,,,,,,,0,0,Year Round,Year Round,0,0,0,0,0,0,Year Round,0,0,0,0,0,0,0,0,Yes,8,Yes,No,If a household already has a Transfer Station sticker they are allowed one Bulky Waste coupon free of charge. If a household does not have a Transfer Station sticker they are charged $25 for a Bulky Waste coupon.,
Shelburne,Jan Ameen,610,525,525,Drop-off,,,Drop-off,,,,,None,,,,,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,,Yes,Yes,290,No,0,No,70,,,,96,51,,,,,,,,,,0,0,0,0,0,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,0,0,Year Round,0,Yes,1,Yes,Yes,,
Sherborn,Carol Rubenstein,1457,1457,1457,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Neither,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,Yes,1469,Yes,,Yes,74.81,,,,146,68,,50,13,,7,9,,,14,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Yes,1,No,Yes,"""enforced mandatory recycling"" by hauler refers to the one private subscription hauler who dumps at the Sherborn Transfer Station. The way I figured out scrap metal price per ton (since the commodity prices were all over the place) was I added all the revenue we received and divided by tons we sent out.  
For E-Waste, I did not include refrigerators, A/C's and the like, and I subtracted those charges from the calculations of price per ton for E-Waste, then I calculated that price per ton by adding all the charges for E-waste and divided by tons delivered.",
Shirley,Joseph Howlett II,2445,1865,2445,Both,,,Both,,Yes,,,None,,Yes,,52,Both,Neither,Recycling,Neither,Yes,,,,,,,,,,,Yes,,,835,No,0,No,71.5,410,,,,,,,,,,,,,,0,Once a Month,Once a Month,Once a Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
Shrewsbury,Thomas Gregory,11234,9580,9580,Curbside,,,Curbside,,,,,None,Yes,,4,,Both,Both,Neither,Neither,,,,,,,,,,,,,,,6364,Yes,,Yes,74.01,,,50,1945,1076,,,,,,,,632,,0,0,0,0,0,0,0,0,0,1 or 2,0,0,0,0,0,0,Once a Month,0,0,No,,,,,
Shutesbury,J. Gary Bernhard,817,817,817,Curbside,,,Curbside,,,,,None,,,,,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,Yes,312,No,25,Yes,84.96,,,,110,82,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,No,,,,,
SOMERSET,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerville,Vithal Deshpande,28000,26250,26250,Curbside,,,Curbside,Weekly,Yes,Yes,64,None,Yes,Yes,22,52,Both,Both,Recycling,Neither,,,,,,,,,,,,,,Yes,19390,No,500,Yes,,6315,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,1 or 2,Year Round,0,0,Yes,8,No,No,,
South Hadley,Veronique Blanchard Smith,7040,6500,6500,Both,,,Both,,,,,None,Yes,Yes,10,52,Both,Both,Both,Neither,Yes,,,,,,,,,,,Yes,Yes,Yes,2546,No,538,Yes,,,,,973,539,12,143,10,,21,,,2118,39,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,,
Southampton,Randall Kemp,2190,1406,1406,Drop-off,,,Drop-off,,,,,Drop-off,,Yes,,52,Both,Both,Both,Neither,,,,,,,,,,,,,Yes,,729,No,268,Yes,68,0,0,0,295,152,,43,4,150,5,,1,91,12,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,"Wood (chips and brush), food and yard waste quantities are very rough guesses.
We do accept latex paint if the paint is dried out - we do not accept oil-based paint (except during a Haz-waste event).",
Southborough,Karen Galligan,3374,2595,2595,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Neither,Neither,Neither,Neither,,,,,,,,Yes,,Yes,No,,Yes,,2766,Yes,,No,74.81,,254,205,,270,,121,78,,,,,268,,1 or 2,Year Round,1 or 2,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
SOUTHBRIDGE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwick,Randy Brown,3300,3100,3100,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,Neither,,,,,,,,Yes,,Yes,Yes,,,,4854,Yes,,Yes,79.55,,,,268,147,,142,,700,10,,,1200,15,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Yes,1,No,No,,
SPENCER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield,Greg Superneau,61000,40000,40000,Curbside,Yes,95,Curbside,Bi-weekly,Yes,Yes,95,None,Yes,,34,,Both,Neither,Neither,Neither,,,,,,,,Yes,,Yes,Yes,Yes,,,38000,No,524,Yes,80.95,7900,,,,,,,,,,,,,100,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,0,0,Yes,5,No,No,,
STERLING,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOCKBRIDGE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoneham,Rich Maliawco,8000,8000,8000,Curbside,,,Curbside,,Yes,,,None,Yes,Yes,7,52,Recycling,Recycling,Neither,Neither,,,,,,,,,,,,,,,7054,Yes,,No,62.57,1120,,,,,,,,,,,,,36,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,No,,,,,
STOUGHTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOW,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sturbridge,Alyssa Rusiecki,4123,1882,2438,Drop-off,,,Drop-off,,,,,None,,Yes,,40,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,Yes,Yes,,190,No,634,Yes,,,,80,90,135,,20,54,19,4,0,0,215,16,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,9,No,No,"Separate types of paint collected, as latex paint can be prepared for disposal.  Please note Oil Paint collected.",
Sudbury,William Place,5419,1080,1848,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,Yes,Yes,,673,Yes,,Yes,70,0,0,46,308,154,0,100,6,0,0,0,0,382,8,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,Residents may contact the Board of Health to set up an appointment to go to the hazardous waste disposal facility located in Lexington.,
Sunderland,Jan Ameen,850,0,0,None,,,None,,,,,None,,,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,0,No,0,No,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,Yes,Yes,,
Sutton,Matt Stencel,3267,1100,1100,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,512,Yes,,Yes,74.81,,0,96,135,142,,85,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,NEDT is in Sutton and gives residents an outlet for HHHW.,
Swampscott,Jeff Vaughan,5700,4690,4700,Curbside,,,Curbside,,,,,None,Yes,,8,,Both,Both,Neither,Neither,,Yes,2,35,,Yes,,,,,,,,,3933,Yes,,No,86.8,,,,826,521,,25,0,0,0,0,,,,1 or 2,0,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,0,Year Round,Yes,2,Yes,No,residents could purchase a sticker to dump yard waste at a private facility.,
Swansea,Moe Pukulis,6200,5900,5900,Curbside,,,Curbside,Weekly,Yes,Yes,64,None,Yes,,39,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,3236,Yes,,Yes,72,1320,,,,,,2,,,,,,1171,,1 or 2,1 or 2,Once a Month,Once a Month,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,0,0,Yes,1,No,No,,
Taunton,Angela Santos,22332,18683,21658,Both,,,Both,,,,,None,Yes,Yes,4,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,Yes,11541,Yes,,No,0,756,,182,1661,1235,,137,,,,,,3846,,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Year Round,0,Yes,1,No,No,,
TEMPLETON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tewksbury,Sandra Barbeau,9859,9859,9859,Curbside,Yes,64,Curbside,,Yes,,,None,Yes,,13,,Both,Both,Neither,Neither,,,,,,,,,,,,,,,10570,No,27,No,65,1531,,,,,,27,,,,,,890,,0,0,Once a Week,Once a Week,0,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,0,No,,,,,
TISBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOLLAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOPSFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Townsend,Carla Walter,3646,3153,3153,Both,,,Both,,,,,Curbside,,Yes,,22,Both,Neither,Neither,Neither,,Yes,3,33,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,2545,Yes,,Yes,77.25,,,,359,307,5,2,1,0,1,0,,3,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
TRURO,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyngsborough ,Kerri Oun,4108,3475,3475,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,Yes,,6,,Both,Both,Neither,Neither,,Yes,1,64,,Yes,,,,,,,,,3805,Yes,,Yes,68,1102,,,,,,,,,,,,110,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,Year Round,0,0,Yes,1,No,Yes,,
TYRINGHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upton,Diane Tiernan,2600,2200,2200,Both,Yes,96,Both,,Yes,,,None,Yes,,1,,Both,Neither,Neither,Neither,Yes,Yes,5,96,Yes,Yes,No,,,,,,,,1290,No,3,Yes,74.81,648,,,,,1,10,,1,2,2,,2,13,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,0,Year Round,Yes,2,No,No,,
UXBRIDGE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAKEFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALES,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walpole ,Robin Chapell,8054,7151,7151,Curbside,,,Both,,,,,None,,Yes,,52,Both,Both,Neither,Neither,,Yes,6,32,,Yes,,Yes,Yes,,,,,Yes,7354,Yes,,No,74.81,,,,1051,531,,,,,,,,2200,9,1 or 2,0,Between 3 & 10,Year Round,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,1,No,Yes,Christmas trees are picked up at curbside during the month of January,
Waltham ,Eileen Zubrowski,23000,16826,23000,Curbside,,,Both,,Yes,,,None,Yes,,34,,Both,Both,Recycling,Neither,,,,,,,,,,,,,,Yes,20254,Yes,,No,,3459,,,,,,,,,,,,1258,169,Between 3 & 10,0,Once a Week,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,0,0,No,,,,Lexington sells compost bins from State Contract to Waltham residents.,
WARE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wareham ,Marilyn Russell,17695,0,0,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Neither,Neither,,,,,,,,,,,,Yes,,Yes,0,Yes,,No,,,,22,33,22,,2,,,,,,,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,Yes,No,"The Town of Wareham has a contract (EXPIRED BUT IN RENEWAL PROCESS) with a private disposal company for municipal buildlings for trash and recyclables.  It has nothing for residents except the following: 
1) The town has a recycling drop-off center which is currently funded by a grant from the estate of a private party.  In addition to the routine recycling items the center handles paint (both latex and oil-based), tires, lead core and re-chargeable batteries, fluoresent bulbs other mercury bearing items including thermostats, thermometers and smoke detectors.  In addition the center takes old flags, white metal goods, and misc. metal of all types.
Approximately in February 2015,  the private grant will be exhausted and the center will have to shut down and in additional all recycling focus will be lost for the town of Wareham.
2. The town of Wareham participates in the Carver-Marion-Wareham Regional Refuse Disposal District.  This provides residents with two transfer facilities for trash and some recyclables disposal.  These are both located out of the town of Wareham.  A sticker is required for residents to utilize these facilities.",
WARREN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warwick ,Jan Ameen,350,300,300,Drop-off,,,Drop-off,,,,,None,,,,,Recycling,Recycling,Neither,Neither,Yes,,,,,,,,,,,,,Yes,88,No,24,Yes,70,,,,26,24,,10,,,,,,,1,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,0,0,0,0,Yes,1,Yes,Yes,,
Washington,michelle lampro,203,203,203,Drop-off,,,Drop-off,,,,,None,,,,,Recycling,Neither,Both,Neither,,,,,,,,,,,,,Yes,,175,Yes,,Yes,,0,0,0,23,17,,,0,,,,,,14,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,0,Once a Week,Once a Week,Once a Week,No,,,,,
WATERTOWN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAYLAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEBSTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellesley ,Gordon Martin,8100,8100,8100,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Recycling,Both,Neither,,,,,,,,,,,,,Yes,Yes,7881,Yes,,Yes,,9,1034,1173,717,737,56,343,261,536,0,0,0,6620,113,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Yes,1,No,No,Medical waste and sharps are collected every day at the main fire station,
Wellfleet ,Mark Vincent,3660,3300,3300,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Both,Both,Yes,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,1939,No,100,Yes,18,,230,4,11,184,3,131,5,5,,,,1950,35,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,0,Year Round,Year Round,Yes,1,Yes,Yes,"The Town of Wellfleet began a Pay As You Throw program on December 1, 2013.",
Wendell ,Jan Ameen,375,340,340,Drop-off,,,Drop-off,,,,,None,,,,,Both,Recycling,Neither,Neither,Yes,,,,,,,,,,,,Yes,Yes,162,No,63,Yes,70,,,,50,44,,6,,,,,,,5,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,0,0,Year Round,0,Yes,1,Yes,Yes,,
Wenham ,Bill Tyack,1348,1348,1348,Curbside,Yes,32,Curbside,Weekly,Yes,Yes,64,Curbside,Yes,Yes,35,2,Both,Neither,Both,Neither,Yes,Yes,1,32,,Yes,,,,,,Yes,,Yes,757,Yes,,No,72,530,,,,,,8,,,,,,,,1 or 2,0,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Yes,1,Yes,No,,
WEST BOYLSTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bridgewater ,Leonard W. Graf,2636,1969,1969,Drop-off,,,Drop-off,,Yes,,,None,,Yes,,52,Both,Neither,Neither,Neither,,,,,,,,,,,,,,Yes,2219,Yes,,No,30,273,,,81,,,72,,,,,,30,3,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
WEST BROOKFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST NEWBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
