Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste (Curbside),Yard Waste (Dropoff), # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Tip Fee as of 1/1/2013,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Did your municipality host comprehensive household hazardous waste collection events in 2012?,How many events?,Regional,Reciprocal,Comments/Additional Information,
Sherborn,Carol Rubenstein,1457,1457,1457,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,,,,,,,Yes,Yes,,Yes,Yes,1561,Yes,74.01,,,,439,213,,44,14,,1,1,,,13,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,1 or 2,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Yes,1,No,Yes,Rigid plastics are collected along with our commingled containers.,
Shirley,Joseph Howlett II,2435,1855,2435,Curbside,,,Both,,Yes,,,None,,Yes,,52,Both,Neither,Recycling,Yes,,,,,,,,,,,805,No,71.5,392,,11,,,,,,,,,,,,0,Once a Week,Once a Week,Once a Week,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
Shrewsbury,Melisa Hollenback,14866,9945,9945,Curbside,,,Curbside,,,,,None,Yes,Yes,7,4,Both,Both,Neither,Yes,,,,,,,,,,,6525,Yes,496000,,,,1981,,0,0,0,0,0,0,0,0,0,1 or 2,0,0,0,0,0,0,0,0,1 or 2,1 or 2,Year Round,1 or 2,Year Round,1 or 2,0,Year Round,Yes,1,No,No,,
Shutesbury,J. Gary Bernhard,800,800,800,Curbside,,,Curbside,,,,,None,,,,,Both,Both,Both,Yes,,,,,,Yes,Yes,,,Yes,313,No,84.96,,,,126,64,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,1 or 2,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,,
SOMERSET,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerville,Vithal Deshpande,76519,22500,22500,Curbside,,,Curbside,Weekly,Yes,Yes,64,None,Yes,Yes,22,52,Both,Both,Both,,,,,,,,,,,Yes,19581,No,,6120,,,,,,,,,,,,,,Year Round,Year Round,Year Round,1 or 2,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,8,No,No,,
South Hadley,Veronique Blanchard-Smith,7024,6200,6200,Both,,,Both,Bi-weekly,,Yes,18,None,Yes,Yes,10,52,Both,Both,Both,Yes,,,,,,,,,Yes,Yes,2548,No,,,,,999,562,8,159,5,,19,,,3294,34,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,"The cost per ton for yard waste is for grinding brush, but the total tonnage under yard waste includes leaves and grass.  Brush tonnage is 3001.",
Southampton,Edward Cauley,2985,2685,2685,Drop-off,,,Drop-off,,,,,Drop-off,,Yes,,52,Both,Both,Both,Yes,,,,,,Yes,Yes,,Yes,,3253,Yes,65,,,,313,154,,336,5,650,,,5,940,26,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,No,,,,"Under question 7: we have carts and bins for recycling, but are for DROP-OFF.  The survey wouldn't allow checking these off without ""frequency of pickup"" filled out as well.",
Southborough,Karen Galligan,3374,2712,2712,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Neither,Neither,Neither,,,,,,,,,,Yes,,2887,Yes,74.01,,296,174,,254,,114,78,,,,,391,,1 or 2,Year Round,1 or 2,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
Southbridge,Kim Grant,7184,6587,6587,Curbside,,,Curbside,Bi-weekly,Yes,Yes,96,None,Yes,Yes,12,39,Both,Both,Neither,,,,,,,Yes,Yes,,,Yes,4053,No,,1354,,,,,64,64,,64,64,64,,582,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,1 or 2,Year Round,Yes,4,Yes,No,"Latex paint cans are collected at the curb when paint is dry.
Under Section 8, Other Recycled Materials, these are co-mingled. They are collected and diverted by Casella, Town's hauler. The Town does not receive a breakdown of all items (mattress, carpet",
Southwick,Jeffrey A. Neece,3300,3300,3300,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,,,,,,,Yes,Yes,,,,2456,Yes,,,,,273,144,,134,,600,2,,,1000,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,,
Spencer,"Steven J. Tyler, P.E.",4695,2443,2443,Drop-off,,,Drop-off,,,,,Drop-off,,Yes,,40,Both,Both,Both,Yes,,,,,,,,,Yes,Yes,1549,No,74.01,,,,387,73,24,26,32,,,,,,,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,0,0,0,0,Yes,1,Yes,No,Citizens are provided addresses and contacts for other regional hazmat handling facilities upon request.  Information will also be posted on web site in the near future.,
Springfield,Greg Superneau,61000,40000,40000,Curbside,Yes,95,Curbside,,Yes,,,None,Yes,Yes,30,52,Both,Neither,Neither,,,,,,,Yes,Yes,,,,40000,No,79.55,8400,,,,,,,,,,,,,100,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,Yes,5,No,No,,
STERLING,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOCKBRIDGE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoneham,Daniel Dragani,8000,8000,8000,Curbside,,,Curbside,,Yes,,,None,Yes,Yes,7,52,Both,Both,Neither,,,,,,,,,,,,7123,Yes,62.57,1063,0,0,0,0,0,24,0,500,26,25,0,1488,17,0,0,Once a Week,Once a Week,Once a Week,Once a Month,Year Round,0,Once a Week,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,Year Round,No,,,,Medical Waste/ Sharps are collected by the Board of Health.  Mercury related products are collected by DPW and Board of Health.  A storage shed for mercury is located at the Town's recycling center and acts as a transfer location before final disposal is completed by Covanta Energy.,
Stoughton,John Batchelder,9744,6888,6888,Curbside,,,Both,Bi-weekly,,Yes,14,None,,Yes,,52,Trash,Neither,Neither,,,,,,,,,,,,8153,Yes,54.52,,321,22,,351,,175,,,,,,,60,1 or 2,1 or 2,Once a Week,Once a Week,0,1 or 2,Once a Week,1 or 2,0,1 or 2,Once a Week,1 or 2,Once a Week,Once a Week,Once a Week,0,1 or 2,Yes,1,No,Yes,,
STOW,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sturbridge,Alyssa Rusiecki,4500,2100,2225,Drop-off,,,Drop-off,,,,,None,,Yes,,30,Recycling,Neither,Recycling,Yes,,,,,,Yes,Yes,Yes,Yes,,583,Yes,69,,,6,128,89,,42,25,33,,,,,32,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,9,No,No,appox 245 msw + 100 dpw waste = 345 landfilled with no tipping fee and 238 removed off-site at tipping fee of approx $69 tipping fee per ton + $110 transport fee per travel.,
Sudbury,William Place,5435,1167,1906,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Neither,Neither,Neither,Yes,,,,,,,,,Yes,,737,Yes,68,40,0,90,340,141,0,106,8,0,0,0,0,103,16,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,No,No,put plastics 1 & 2 in Single Stream box with revenue info and plastics 3 through 7 and glass in Commingled box with cost per ton.,
Sunderland,Jan Ameen,0,0,0,None,,,None,,,,,None,,,,,Neither,Neither,Neither,,,,,,,,,,,,0,No,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
Sutton,Matt,3188,1024,1024,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,Yes,,,,,,,,,,,529,Yes,74.81,,,80,128,95,,80,1,,,,,3,8,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,NEDT is in town and offers  walk in collection of HHW.,
Swampscott,Jeff Vaughan,5700,4690,4700,Curbside,,,Curbside,,,,,None,Yes,,6,,Both,Both,Neither,,Yes,2,35,Yes,,,,,,,4080,Yes,84.68,,,,726,449,,25,,,,,,6,,1 or 2,0,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Yes,2,Yes,No,"Yard waste - we also offer a permit for residents to drop off materials.  Tonnage numbers not included.
Rigid plastics - we are part of a DEP grant w/Salem and Marblehead for rigids but I do not have tonnage amounts
Electronic waste - we have 2 drop-off events.  Do not know the tonnage calculations.",
Swansea,Moe Pukulis,5950,5650,5650,Curbside,,,Curbside,,,,,None,Yes,,39,,Both,Neither,Neither,Yes,,,,,,,,,,,3308,Yes,,,,,540,440,,3,,,,,,1091,,0,0,Between 3 & 10,Between 3 & 10,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,"Swansea holds a Household Hazardous Waste Day every other year. One is scheduled for April 13, 2013",
Taunton,Angela Santos,22045,18004,21658,Both,,,Both,,,,,None,Yes,Yes,3,52,Both,Both,Neither,Yes,,,,,,,,,Yes,Yes,12482,Yes,0,,38,125,2116,1485,0,105,,,,,,633,125,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Yes,1,No,No,"City is in the process of placing two kiosks at the police station, one for waste medications and one for sharps.",
TEMPLETON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tewksbury,Sandy Barbeau,9855,9835,9835,Curbside,Yes,64,Curbside,,,,,None,Yes,,13,,Both,Both,Neither,,,,,,,,,,,,9971,Yes,71,,,,1223,934,,12,,,,,,959,,0,0,Year Round,0,0,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,No,,,,,
TISBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOLLAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOPSFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Townsend,Carla Walter,3325,2950,2950,Curbside,,,Curbside,,,,,None,,Yes,,25,Both,Both,Recycling,,Yes,4,33,Yes,Yes,Yes,Yes,Yes,,Yes,2660,Yes,77.25,,,,358,301,,,,,,,,14,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,10,Yes,No,,
TRURO,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyngsborough ,Kerri C. Oun,4108,3795,3795,Curbside,Yes,64,Curbside,,,,,None,Yes,,4,,Both,Both,Neither,,Yes,2,64,,Yes,,,,,Yes,3840,No,71,,,,604,500,,,,,,,,120,,1 or 2,0,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,Yes,No,,
TYRINGHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upton,Diane Tiernan,2600,2200,2200,Curbside,Yes,96,Curbside,Weekly,Yes,Yes,24,None,,,,,Both,Neither,Neither,Yes,Yes,5,96,Yes,Yes,Yes,Yes,,,,1277,No,74.01,699,,,,,1,12,,1,2,2,,,13,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Yes,2,No,No,,
UXBRIDGE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAKEFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales ,Richard Silva,940,450,450,Drop-off,,,Drop-off,,Yes,,,Drop-off,,Yes,,52,Both,Neither,Neither,Yes,,,,,,Yes,Yes,,,,410,Yes,75,52,,,,,1,5,,20,2,1,,10,15,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,No,,,,,
Walpole ,Robin Chapell,8400,7400,7400,Curbside,,,Both,,,,,None,,Yes,,52,Both,Both,Neither,,Yes,6,32,Yes,Yes,Yes,Yes,Yes,,,7428,Yes,74.01,,,,1133,509,,,,,,,,1500,,Between 3 & 10,0,Between 3 & 10,Year Round,Between 3 & 10,Year Round,1 or 2,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,Year Round,Yes,1,No,Yes,,
Waltham ,Eileen Zubrowski,23000,16826,23000,Curbside,,,Both,,Yes,,,None,Yes,,37,,Both,Both,Recycling,,,,,,,,,,,Yes,18665,Yes,,3221,,,,,,,,,,,,,,Between 3 & 10,0,Once a Week,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,No,,,,"The Recycling Department collects thermostats and thermometers.

Waltham residents can buy compost bins on State contract in the town of Lexington, by special agreement.

THe City provides five days of leaf vacuuming in November & December.

The City collects only dried cans of latex paint for trash.",
Ware ,Stuart Beckley,4300,0,0,None,,,None,,,,,None,,Yes,,4,Neither,Neither,Neither,,,,,,,,,,,,0,No,,0,0,0,0,0,,,,,,,,,,0,0,1 or 2,1 or 2,0,0,0,0,0,0,0,0,0,0,0,0,1 or 2,No,,,,,
Wareham ,Marilyn Russell,17695,0,390,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Neither,Neither,Neither,,,,,,,,,,Yes,Yes,0,Yes,,,,19,31,29,,5,,,,,,,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,Yes,No,"The town of Wareham has a contract with a private Disposal Company for Muncipal buildings for both trash & recyclables.  It has nothing for residents except the following:
1. The town has partially funded a Drop-off Center located in East Wareham for recyclable items only.  In addition to the routine items the center handles: paint(both oil based and latex), tires, lead core and rechargeable batteries, flourescent lamps and bulbs, other mercury bearing items, i.e. thermostats, thermometers and smoke detectors, old flags, white metal goods and misc. metal of all types.  No sticker is required.

As of July 1, 2013, the Town is eliminating the funds for any recycling activity.  This action jeopardizes our ability to operate the center.  In addition, it effectively eliminates the Recycling Coordinator from the town budget which will leave Wareham with no focal point for recycling.  The position of the town Board of Selectmen is that volunteers should handle all the activities and that the center should be self-sustaining.  The Coordinator spends at least 20 hours per week on recycling duties.  These will be dropped or be absorbed by other town departments.  This is yet to be addressed by the Board of Selectmen or the Town Adminstrator.
2.  The town of Wareham participates in the ""Carver, Marion, Wareham Regional Refuse Disposal District.  This provides residents with two transfer facilities for trash and some recyclables disposal.  These facilities are located in Rochester and Marion.  There will not be any recycling facility in Wareham.  A sticker is required and residents can purchase these at the Harbormasters office in Wareham.",
Warren ,Robert Downing,5000,650,650,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Neither,Neither,Neither,,,,,,,,,,Yes,,616,Yes,,,,,97,76,,3,,,,,,1,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,No,,,,,
Warwick ,Jan Ameen,285,250,250,Drop-off,,,Drop-off,,,,,None,,,,,Recycling,Recycling,Neither,Yes,,,,,,,,,,Yes,110,Yes,64,,,,33,25,,9,,,,,,,1,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,0,0,No,,,,,
Washington,michelle lampro,203,203,203,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Both,,,,,,,,,,,,175,Yes,,,,,23,16,,,0,,,,,,3,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,0,No,,,,,
WATERTOWN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAYLAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEBSTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WELLESLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellfleet ,Mark Vincent,3660,3300,3660,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Both,,,,,,,,,,Yes,Yes,1864,No,18,,236,4,11,188,3,131,5,5,,,,1950,35,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,0,Yes,3,Yes,No,"In December of 2013 the Town of Wellfleet will be going to Pay As You Throw.

Please note that on Part 5, ""Solid Waste Collection and Disposal"" , we started a contract on November 5, 1984, and have renewed. Your date only allows back to 1992.",
Wendell ,Jan Ameen,375,340,340,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,Yes,,,,,,,,,Yes,Yes,221,Yes,64,,,,51,41,,,,,,,,,2,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,0,0,No,,,,,
Wenham ,Bill Tyack,1422,1275,1275,Curbside,,,Curbside,,Yes,,,Curbside,Yes,,6,,Both,Neither,Both,Yes,,,,,,,,,,Yes,949,Yes,,506,,,,,,,,,,,,,6,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,1 or 2,Yes,1,Yes,No,,
WEST BOYLSTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bridgewater ,Len,2387,1968,1968,Drop-off,,,Drop-off,,Yes,,,None,,Yes,,52,Both,Neither,Neither,,,,,,,,,,,Yes,2410,Yes,30,254,,,86,,,63,,,,,,30,2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,"SEMASS contract start date was around 1974 - the earliest date provided as option is 1994.
We collect electronics yet difficult to determine volume by tons.",
WEST BROOKFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST NEWBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Springfield ,Michael Pattavina,11757,8650,8650,Curbside,,,Both,,,,,None,Yes,Yes,6,40,Both,Both,Neither,,,,,,,,,,,Yes,8143,No,80.63,,,,523,522,,264,54,,,,90,3128,81,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,Yes,Town disposes 208 tons of bulky waste,
WEST STOCKBRIDGE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST TISBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westborough ,Steven Baccari,4300,2937,4029,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Neither,Neither,Neither,,,,,,,Yes,Yes,Yes,Yes,,5553,No,72.48,,,,,,,,,,,,,,,Year Round,0,Year Round,0,Year Round,Year Round,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,"The company we contract with to run our transfer station (E.L. Harvey & Sons) does not weigh recyclables.  As part of our contract, they do collect them, but they are just combined with materials Harvey's  recycles through their own business.",
Westfield ,Barry Searle,13700,13180,13180,Both,Yes,96,Both,,,,,None,Yes,Yes,3,52,Both,Both,Neither,,,,,,,Yes,Yes,,,Yes,15679,Yes,55,,,,1583,714,,149,7,,,,,1900,51,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Once a Week,Once a Week,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,"Other totals not listed above are: 18,072 tons of books for re-use, 124 (count) freon appliances, 231 (count) propane tanks recycled, 1812 tires (count) recycled.
The dual-stream recycling tonnages  from the Springfield MRF do not include the multifamilies in the City which are all picked up by private haulers. Estimated recycling totals for these multifamilies are: mixed paper = 65 tons, co-mingled = 29 ton and single-stream = 500 tons.",
Westford ,Kris Erickson,7396,7396,7396,Curbside,,,Curbside,Bi-weekly,Yes,Yes,64,None,,Yes,,2,Both,Both,Neither,,Yes,5,32,,Yes,Yes,,Yes,,Yes,8041,No,71,2728,,,,,,,,,,,,,,1 or 2,0,Between 3 & 10,Between 3 & 10,Year Round,0,0,0,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,,
Westhampton ,eric weiss,542,542,542,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Yes,,,,,,Yes,Yes,,Yes,Yes,273,Yes,68,,,,82,49,,16,11,,,,,,4,0,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,0,Yes,1,Yes,Yes,,
WESTMINSTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston ,Robert Hoffman,3550,1750,2000,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Neither,,,,,,,,,,Yes,,2162,Yes,74.01,,245,167,167,230,,71,15,,,,,679,34,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
Westport ,"JAMES J. WALSH, JR.",6685,2000,2000,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Both,Yes,,,,,,,,,,,917,Yes,65,,80,102,95,55,41,61,7,,,,,21,8,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,"RE: Steel/tin/aluminum/glass/plastic containers (commingled containers or sum of separate container streams) 

This section was reported as revenue however, glass cost $25 per ton and Westport collected 99.84 tons of glass.  The amount of revenue and tonnage listed in this section was for the steel/tin/aluminum/plastic only.",
Westwood ,Chris Gallagher,4607,4607,4607,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,Yes,,11,,Both,Both,Neither,,Yes,1,64,,Yes,Yes,,Yes,,Yes,4797,Yes,74.01,1506,,,,,,,,,,,,539,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,,
Weymouth ,Rosemary Nolan,17575,17500,17500,Curbside,,,Both,,Yes,,,None,Yes,Yes,20,42,Both,Both,Recycling,,,,,,,,,,,Yes,18928,Yes,98,3541,,,,,,5,75,,,,,5132,200,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,0,Year Round,Yes,2,No,Yes,,
