Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2017,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks 1 lb.,Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2016?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Middleborough,Christopher Peck,7100,6144,6144,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,2,52,Both,Neither,Neither,Neither,,Yes,,,Yes,204,,,,Yes,1,64,Yes,,No,,,,,,Yes,,,Yes,4440.84,No,89,Yes,,25,1761.11,,,,,,175,,,,,,370,24.42,129.73,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,Yes,,,
Middlefield,Kathleen A. Casey,274,156,156,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,,65,,,,,,,,,,Yes,Yes,,No,,,Yes,,Yes,125.18,No,13.55,Yes,,69,,,,16.93,13.68,,11.89,2.44,,,,,,1.56,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,Year Round,No,,,,,,
MIDDLETON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milford,Paul Mazzuchelli,10790,9025,9025,Both,,,Both,Bi-weekly,,,,None,8,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,4,32,Yes,,No,,,,,,,,,,8527,Yes,,Yes,1,66,,,1550,740,697,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,Yes,2,No,No,,,
MILLBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millis,James F. McKay,3425,825,758,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Recycling,Neither,Neither,,,Yes,,,,85,,Yes,,,,,,,,,,,,,,,,443,Yes,,,,66,,,,119.94,77.36,0.45,31.63,,,1.18,0.83,,600,3.51,,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,0,No,,,,"Mattresses/Boxspring, Computer and Electronics, Carpet, Upholstered Furniture, and White Goods - $15.00 each - town charges $21.00.",,
MILLVILLE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton,Christopher Trudel,9470,8852,9310,Curbside,,,Both,Weekly,Yes,,,None,16,,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,5294.51,Yes,,Yes,,69,3158,,,,,,54.23,,,,,,2217.83,21.96,,Year Round,Year Round,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,Year Round,1 or 2,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Week,1 or 2,Once a Month,0,Once a Month,0,Once a Month,Yes,1,No,No,,,
Monroe,Linda Cernik,43,43,43,Curbside,,,Curbside,Weekly,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,48.68,Yes,,,,,1.35,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
MONSON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montague,Jan Ameen,2553,2553,2553,Curbside,,,Both,Weekly,,,,None,,52,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,,,,,,,,Yes,1190,No,152.7,Yes,,62,,,,325.41,235.23,,33.36,,,,,,100,14.57,,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,0,No,,,,,,
Monterey,Willie Morales,844,750,750,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Both,Neither,Yes,Yes,,,,70,,,,,,,,,,Yes,Yes,,Yes,18,,Yes,Yes,,431.19,No,92.14,Yes,,,,,,78.73,43.24,,27.21,,,2.37,,,,26.88,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,1 or 2,Year Round,Year Round,1 or 2,No,,,,,,
MONTGOMERY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Washington,Mary-King Austin,147,147,147,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,Yes,,,,200,,,,,,,,,,,,,,,,,,,52,Yes,,No,,80,,,,10.2,11,,,,,,,,,,,0,0,1 or 2,1 or 2,Between 3 & 10,1 or 2,0,0,1 or 2,1 or 2,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,1 or 2,0,0,0,0,No,,,,,,
Nahant,Mary Ellen Schumann,1355,1355,1355,Curbside,,,Curbside,Weekly,Yes,,,None,8,28,Both,Both,Both,Neither,,Yes,,,,345,,,,,,,,,,,,,,,,,,,1276,Yes,,No,52,,352,,,,,,,,,,,,,,,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,0,0,Year Round,0,0,0,0,0,0,0,0,0,0,No,,,,,,
NANTUCKET,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natick,Thomas Hladick,13250,10450,10450,Curbside,,,Both,Bi-weekly,Yes,Yes,96,Curbside,6,52,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,6222,Yes,,Yes,,,3650.57,,202.81,101.91,213.78,22.37,213.78,9.28,,1.82,,,229.88,32.4,,Year Round,Year Round,Once a Week,Once a Week,Year Round,Year Round,Once a Week,Once a Week,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,,,
Needham,Gregory Smith,9706,4118,4118,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,Yes,Yes,,9582,Yes,,Yes,,64,338,0,570,1860,1117,0,587,182,0,18.04,,1025.28,57170,48000,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,Yes,"Date Town and Location Hours NotesApril 30 Winchester 15 Lake St 9-1 Checks only, payable to CVCCApril 30 Natick 75 West St 9-12 Call to register, (508) 647-6460Checks only, payable to Clean HarborsMay 21 Tyngsborough87 Kendall Road 9-1 Checks only, payable to StericycleJune 18 Wayland 66 River Road 9-12 Checks only, payable to Clean Harbors, Pre-register at http://www.wayland.ma.us/Pages/WaylandMA_Health/HHWDJune 25 Maynard38 Winter Street 8-12 Checks only, payable to Clean HarborsSeptember 24 Sudbury, Curtis Middle School22 Pratts Mill Rd 9-1 Checks only, payable to Clean HarborsOctober 15 Needham470 Dedham Ave 8-12 Checks only, payable to Clean Harbors",,
New Ashford,Linda Cernik,94,0,94,None,,,Drop-off,,,,,None,,,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,0,Yes,,,,,,,,6.19,2.83,,3.43,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,Yes,1,Yes,No,,,
New Bedford,Marissa Perez-Dormitzer,39141,36394,36394,Curbside,Yes,65,Both,Weekly,Yes,Yes,65,None,38,52,Both,Both,Both,Neither,Yes,,,,,,,,,Yes,1,65,Yes,,Yes,Yes,Yes,,Yes,128,,,,Yes,26718.99,No,340.59,No,,,7855.38,,419.35,,,13.58,209.15,112.64,,2.19,,,5024.48,5.16,156.8,Year Round,1 or 2,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,2,Yes,No,"The single stream automated cart program began on June 23, 2014.Single unit buildings received 65-gallon carts, multiple unit buildings received 95-gallon carts. Residents who requested smaller carts received 35-gallon carts.Other materials recycled:antifreeze: 0.44 tons batteries: 1.68 tons books: 10.34 tons bulky waste: 1,021.76 tons (general bulky items recycled through New Bedford Waste Services)bulky waste: 261.81 tons (material collected by the ""white goods"" truck including computer monitors, televisions, laptops, radios, refrigerators, dishwashers, dryers, and scrap metal; there may be some double counting of the scrap metal weights)cooking oil: 1.45 tons motor oil: 2.44 tons oil filters: 0.90 tons sharps: 0.27 tons (Weights from two drop-off events. There are also three locations in New Bedford that accept sharps year-round.)shredded paper: 8.88 tonsStyrofoam: 0.67 tons tires: 6.83 tonsPaint reuse encouraged (local theater accepts latex paint and an artist accepts oil-based paints).",,
NEW BRAINTREE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Marlborough,Sharon Fleck,940,350,350,Drop-off,,,Drop-off,,Yes,,,None,,,Recycling,Neither,Recycling,Recycling,,Yes,,,,105,,,,,,,,,,Yes,Yes,,Yes,0,,Yes,Yes,,219,No,29,Yes,,,107,,,,,0,25,,,0.5,,219,,0.5,,0,Year Round,Year Round,Year Round,0,1 or 2,0,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,0,0,0,0,0,0,No,,,,,,
New Salem,Jan Ameen,427,300,300,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,20,,Yes,,,,,,,Yes,,,,,,Yes,,Yes,144.06,No,18.71,Yes,,69,,,,44.49,35.69,,9.14,2.4,,,,2.91,,,,0,0,0,0,0,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,0,No,,,,,,
NEWBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newburyport,molly ettenborough,7965,7523,7523,Curbside,,,Curbside,Bi-weekly,Yes,Yes,64,None,5,36,Both,Both,Both,Neither,Yes,,,,,,,,,Yes,3,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,,Yes,,Yes,5193.05,Yes,,Yes,,64.73,2506.73,,,,,,42,87.24,,11,,83,595,19.58,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,Yes,Yes,,,
Newton,Waneta Trabert,31139,28500,28500,Curbside,Yes,64,Both,Weekly,Yes,Yes,64,None,41,,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,No,Yes,Yes,Yes,No,,Yes,,,Yes,17785,Yes,,No,260,66,10358.09,,182.87,,,42.43,250.4,,,,,,1188.54,34.78,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,20,No,No,"We have a latex paint exchange open 5 days/week May - October. Oil based paint is only accepted through HHW events. We also collect C&D from City operations, but I wasn't able to get a total tonnage in time for submission.",,
Norfolk,Robert J. McGhee,3713,1226,1226,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,,,Yes,,Yes,,65,,Yes,,,,,,,,,,,,,,,,605,No,280,Yes,,,0,119.36,106.97,0,228.76,27.59,93.16,14,66.99,,,,309,3.48,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,26,No,Yes,,,
NORTH ADAMS,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH ANDOVER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Attleborough,Michele Bernier,10888,8797,8829,Both,,,Both,Weekly,Yes,Yes,96,None,7,38,Both,Both,Neither,Neither,,Yes,,,Yes,225,,,Yes,,,,,,,Yes,Yes,Yes,No,,Yes,,,Yes,4443.19,Yes,,Yes,,79,3051.1,0,25.57,9.81,4.76,15.12,63.1,0.88,32.3,21.73,,,838.89,12.93,85.51,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,"All 8 of the Solid Waste Department's staff are charged with and assist with daily enforcement of the mandatory recycling regulations. No one person is designated but one or more is tasked on a daily basis to check bins, write letters, make or answer phone calls from residents and/or commercial owners regarding their recycling services. In addition the Board of Health's Director and clerical staff also assist in reviewing applications for permits for trash and recycling services and enforce the ""integrated services for an integrated price"" per the BOH's Hauler Regulations.",,
North Brookfield,christine lentz,2313,1354,1354,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Both,Neither,,Yes,,,Yes,55,,,Yes,,,,,,,Yes,Yes,,No,,Yes,Yes,,,693,Yes,,Yes,,77.25,,14.35,84,84.51,,,3,18,,,,,110,9,47,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,1,Yes,No,,,
NORTH READING,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northampton,Susan Waite,12173,3203,3203,Drop-off,,,Drop-off,,,,,Drop-off,,52,Neither,Neither,Both,Neither,,,Yes,,Yes,,25,,Yes,,,,,,,Yes,,,,,Yes,Yes,,Yes,910.61,No,77.49,Yes,,68,,,,651.11,412.49,12.29,117.08,15.63,1,,,151.9,189,5.79,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,No,Yes,"Please note: 1) Yard waste statistics for CY2015 were not available at report time last year, so I repeated the CY 2014 figure (482 tons). The correct yard waste tonnage for CY 2015 is 256 tons. The loss is due to closure of the municipal landfill. 2) In 2016 our ReCenter Swap Shop recorded all outgoing material by weight. During the 20 half Saturdays the swap shop was open between 4/9/16 and 10/30/16, we diverted 14 tons of material from the landfill. Of that, 13.8 tons was ""adopted"" by swap shop visitors and reuse partners (e.g. Salvation Army and Eco Building Bargains). ""Unadoptable"" material totaled a mere 1.4 tons (.8 ton was recycled and .6 ton was sent to the landfill). Through careful vetting of incoming material we were able to keep the landfilled amount to 4% of the total!",,
Northborough,Fred Litchfield,5888,4882,5888,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,Yes,,,Yes,1912,Yes,,Yes,104,66,1163,,,,,,8.96,26.38,,,,,287.5,,,1 or 2,0,0,0,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,1 or 2,0,0,0,Yes,1,No,No,I may have a discrepancy in my yard waste cost and volumes but will need more time to evaluate this. I would also like to discuss the number of households served as I have a PYT program and a private hauler which has 1006 customers and I have deducted that number of households from my total number of households in Town which is 5888 which leaves me 4882. The reason I would like to discuss this is the Town's collection contractor goes by each of the households in Town and the private hauler customers can use both services. Having ore than 5000 households being served would double the value of the points awarded in RDP funds.,,
Northbridge,Theodore Kozak,5853,0,600,None,,,Drop-off,,,,,None,12,37,Recycling,Recycling,Recycling,Recycling,,,,Yes,,,,0,,,,,,,,,,,,,Yes,,,Yes,0,No,0,Yes,,,,0,26,23,62,1,5,,,0.28,,,,6,,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,0,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,No,,,,Northbridge does not have a municipal trash collection program - the data in this report reflects to the best of our knowledge the activities of the Recycling Center which is run as a drop-off collection site for Northbridge residents.,,
Northfield,Jan Ameen,1141,1045,1045,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,20,,Yes,,,,,,,,,,,,,Yes,,Yes,376.15,No,0,,,70,,,,130.2,94.11,,36.73,6.73,,,,56,,3.58,,0,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,0,No,,,,,,
NORTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwell,Brian Flynn,3461,3461,3461,Curbside,Yes,35,Both,Weekly,Yes,Yes,64,None,,52,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,,Yes,,,,,,,3062.76,Yes,,No,2,74.6,1305.23,,,,,,149.04,6.25,,,,,,62.4,,Year Round,0,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Yes,1,No,Yes,,,
Norwood,Mark Ryan,12833,9146,9146,Curbside,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,38,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,6783.12,No,488,Yes,156,84,3339.27,,,,,42.45,74.5,40.11,,7.56,,,2476,,,1 or 2,1 or 2,Once a Week,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Yes,2,No,No,,,
Oak Bluffs,Richard Combra Jr,2910,2731,2056,Both,,,Drop-off,,,,,None,,52,Both,Trash,Neither,Trash,,,Yes,,Yes,,25,,Yes,,,,,,,,,,,,,,,,777.43,No,0,,,146.5,,59.91,49.37,,128.79,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,Year Round,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
OAKHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,Jan Ameen,2459,1162,1162,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,28,,Yes,,,,,,,Yes,,,,,,Yes,,Yes,554.09,No,174.46,Yes,,77.5,297.05,,,,,,24.41,6.69,,,,4.72,66,7.8,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,0,Yes,1,Yes,Yes,,,
Orleans,"Frank Nichols, PE",5362,3793,3793,Drop-off,,,Drop-off,,,,,None,,52,Neither,Trash,Neither,Trash,Yes,Yes,,Yes,,95,,2,,,,,,,,,,,,,,Yes,Yes,Yes,2054,No,0,Yes,,58,,,179,225,419,,250.51,,,17.74,,,800,157.28,719,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Yes,1,No,Yes,,,
Otis,James Crandall,1701,1200,1200,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,Yes,Yes,,,,50,,,,,,,,,,Yes,Yes,,Yes,30,,,Yes,,515.03,No,141.06,Yes,,77,,,,82.85,71.57,4.41,50.13,3.66,,,,,3,5.93,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,Year Round,No,,,,,,
Oxford,Sean Divoll,3916,0,0,None,,,None,,,,,None,,36,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,,0,No,0,No,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
PALMER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paxton,Sheryl Lombardi,1557,1557,1557,Curbside,,,Both,Weekly,,,,None,,52,Both,Neither,Neither,Neither,,Yes,,,,178,,,,Yes,5,32,,Yes,,Yes,,Yes,,,,Yes,,,1240,No,0,Yes,,,,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,4,Yes,No,"for question #8, we do not receive a breakdown of trash vs. recycle tonnages. It is cumulative on the billing statement.",,
Peabody,Bert Maria,21313,19295,19295,Both,,,Both,Weekly,,,,None,14,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,3,36,,Yes,,Yes,,Yes,,,,,,,16382.02,Yes,,No,,63.25,,,,2046.81,1678.91,,783.95,8.78,,,,,1925.44,115.07,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,,
PELHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pembroke,Edwin J. Thorne,6500,6500,6500,Curbside,Yes,64,Both,Weekly,Yes,Yes,64,None,1,52,Both,Recycling,Neither,Neither,,Yes,,,,280,,,,Yes,2,64,,,,,,,,,,Yes,Yes,Yes,5900,Yes,,Yes,,55,9,0,17,0,55,8.13,18,3,51,4,7,,644,74,,Once a Week,Once a Week,Once a Week,Once a Week,1 or 2,Once a Week,Once a Week,Once a Week,1 or 2,1 or 2,1 or 2,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,1 or 2,Yes,2,No,No,,,
PEPPERELL,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Linda Cernik,378,378,378,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,Yes,,,,25,,,,,,,,,,,,,,,,,,Yes,203.3,No,10.44,Yes,,,,,,26.64,14.71,,24.97,,,,,,,,,0,0,0,0,0,Year Round,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,Yes,1,Yes,No,,,
