Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2017,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks 1 lb.,Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2017?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Methuen,Matt Zettek,19036,14982,15904,Both,,,Both,Bi-weekly,Yes,,,None,21,52,Both,Both,Recycling,Neither,Yes,,Yes,,,,10,,,,,,,,,,,,,,,,,,,,,,,,18030,Yes,0,Yes,52,67.72,3388,,,,,,171,34,,,,,3702,53,2903,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,0,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Once a Month,Year Round,0,0,0,0,Yes,1,No,Yes,,,
Middleborough,Christopher Peck,7195,6150,6150,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,1,52,Both,Neither,Neither,Neither,,Yes,Yes,,Yes,204,25,,,Yes,1,64,Yes,,No,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,4567.77,No,0,Yes,,25,1795.03,,,,,,186.67,2.87,,,,,377,24,26.57,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,0,0,Yes,1,Yes,Yes,,,
Middlefield,Kathleen A. Casey,271,145,145,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,,65,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,Yes,,Yes,112.82,No,13.53,Yes,,70,,,,16.31,14.1,,6.97,3.86,,,,,,3.06,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,,No,,,,,,
MIDDLETON,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milford,Paul Mazzuchelli,10050,8920,8950,Curbside,,,Both,Bi-weekly,,,,None,1,52,Both,Both,Neither,Neither,Yes,,Yes,,,,20,,,,,,,,,Yes,Yes,,,Yes,,No,,,,,,,,Yes,8859.19,Yes,0,Yes,52,67.14,,,1640,814.55,676,,727,14,4587,,,,1923,6889,7895,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,,,Yes,1,No,No,,,
Millbury,Keith Nastasia,5120,3515,3515,Drop-off,,,Drop-off,,Yes,,,None,,52,Recycling,Neither,Neither,Neither,Yes,,Yes,,,,35,,,,,,,,,Yes,Yes,,,Yes,,No,,,,,,,,,1816,No,0,Yes,,66.87,839,,,,,,94.04,,,,,,9.72,17.73,75.16,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,0,0,0,0,0,Year Round,Year Round,0,0,Year Round,Year Round,No,,,,,,
Millis,James F. McKay,3461,831,831,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,,Yes,,,,85,,,Yes,,,,,,,,,,,,,,,,,,,,,,438.71,No,0.25,Yes,,66,,,,126.38,79.33,0.5,36.25,,0.1,1.79,0.75,,,3.28,,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,,Year Round,,0,No,,,,"The Millis Transfer Station excepts the following for a fee of $21.00 each Mattresses/Boxsprings, Computer and all Electronics, Carpet, Upholstered Furniture, and White Goods.",,
MILLVILLE,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton,Hillary Waite,9476,8858,9316,Curbside,,,Curbside,Weekly,Yes,,,None,16,,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,5791.2,Yes,0,Yes,52,78,3490.32,,,,,0,135.73,40.18,,3.33,,,279.99,34.22,,Year Round,Year Round,Once a Month,0,Year Round,0,Once a Month,Once a Month,0,Year Round,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,Year Round,Year Round,0,Once a Month,0,,Yes,1,No,No,"The Town picks up trash and recycling at several senior living facilities in Town, but does not service other large multi-family developments. These households are counted in our number of households serviced.

The Town also accepts freon items and large ",,
Monroe,Linda Cernik,73,73,73,Curbside,,,Curbside,Weekly,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.67,No,0,,,,1.32,,,,,,,,,,,,,,,0,1 or 2,1 or 2,1 or 2,0,Year Round,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,No,,,,HHW collection secured for member towns June 2 2018. Monroe residents have access to year 6 mercury product sheds in the district for drop off & 3 bulky waste collection days hosted by NBSWMD.,,
Monson,Audra Staples,3877,2959,2959,Curbside,,,Curbside,Bi-weekly,,,,None,,,Both,Both,Neither,Neither,,Yes,,,,272,,,,Yes,7,32,,Yes,,,,,,,,,,,,,,,,,2364.96,No,0,Yes,,,,312.73,,,208.49,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
Montague,Jan Ameen,2600,2600,2600,Curbside,,,Both,Weekly,,,,None,,52,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,1172.39,No,171.11,Yes,,63,,,,321.57,232.91,,19.64,,,,,,100,18.32,,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,,No,,,,,,
Monterey,Kenn Basler,845,748,750,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Neither,Both,Neither,Yes,,Yes,,,,70,,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,18,,,,,Yes,,Yes,229.94,No,76.2,Yes,,85,,,,73.62,48.22,4,108.72,1.58,,6.19,,43.5,,3.35,74.2,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,,Year Round,,,No,,,,"With the help of DEP (Thank You) we have no costs associated with Mattress (over 150 already), food waste, textile and rigid plastic. 
Would be helpful if there was a rental column. Our contract breaks out rental fees associated with dumpsters and compact",,
MONTGOMERY,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Washington,Mary-King Austin,146,146,146,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,No,6.07,No,,80,,,,11.61,11.13,,,,,,,,,,,1 or 2,0,0,0,Between 3 & 10,1 or 2,0,0,1 or 2,0,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,0,0,0,0,0,No,,,,,,
Nahant,Mary Ellen Schumann,1350,1350,1350,Curbside,,,Curbside,Weekly,Yes,,,None,8,28,Both,Both,Recycling,Neither,,Yes,,,,345,,,,,,,,,,,,,,,,,,,,,,,,,1228,Yes,0,No,52,,428,,,,,,,,,,,,,,,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,0,0,Year Round,0,0,0,0,Year Round,0,0,Year Round,0,0,No,,,,,,
Nantucket,Graeme Durovich,8485,8485,8485,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,43,Yes,Yes,Yes,Yes,Yes,Yes,,4062,No,0,No,,,0,0,962.25,0,2352.97,,847.52,,4084.52,165.33,,7221.66,9797.2,3.83,9203.35,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,0,0,0,0,0,Yes,6,Yes,No,"The values supplied in this survey represent drop-off and private hauled waste streams, and includes residential and commercial waste. 

Brush (3437.42 tons) is included in the quantity for Wood waste. The E-Waste quantity is a count (not weight or volume",,
Natick,Thomas Hladick,13400,10525,10525,Curbside,,,Both,Bi-weekly,Yes,Yes,96,Curbside,6,52,Both,Both,Recycling,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,6137,Yes,0,Yes,,,3564,,184.66,95.66,,29.75,260.8,213.27,,3,,104,524.88,23.63,,Between 3 & 10,0,0,0,Between 3 & 10,Between 3 & 10,0,0,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,,Between 3 & 10,0,,Yes,1,No,No,,,
Needham,Gregory Smith,8744,6484,6484,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Both,Both,Neither,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,6840,Yes,,Yes,,67.14,220,0,416,1511,921,0,588,150,0,27.36,0,1820,4815,24,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,Yes,,,
New Ashford,Linda Cernik,92,0,40,None,,,Drop-off,,,,,None,,,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,No,0,,,,,,,5.34,4.75,,4.16,,,,,,,,,0,0,1 or 2,1 or 2,0,Year Round,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,No,,,,"HHW collection secured for member towns June 2 2018, Access to districts collections, paint, mercury product, special bulky waste collections",,
New Bedford,Marissa Perez-Dormitzer,39254,36394,36394,Curbside,Yes,65,Both,Weekly,Yes,Yes,65,None,38,52,Both,Both,Both,Neither,Yes,,,,,,,,,Yes,1,65,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,128,,,,,,,Yes,27577.88,No,383.01,No,,,8351.7,,497.69,,,10.87,99,156.78,,0.39,,,5105.18,71.98,113.34,Year Round,1 or 2,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,0,Yes,2,Yes,No,"The single stream automated cart program began on June 23, 2014.
Single unit buildings received 65-gallon carts, multiple unit buildings received 95-gallon carts. Residents who requested smaller carts received 35-gallon carts.

Other materials recycled:
a",,
NEW BRAINTREE,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Marlborough,Sharon Fleck,940,385,385,Drop-off,,,Drop-off,,Yes,,,None,,,Recycling,Neither,Both,Both,,,Yes,,,,125,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,241,No,0,Yes,,,97,,,,,,-25,,,,,,,,-75,0,Year Round,Year Round,Year Round,1 or 2,Year Round,0,0,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,1 or 2,1 or 2,0,0,0,0,0,0,0,No,,,,,,
New Salem,Jan Ameen,449,340,340,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,20,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,,Yes,137.69,No,20.23,Yes,,70,,,,41.67,36.65,,11.22,7.14,,,,3.2,,,,0,0,0,0,0,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,0,No,,,,,,
NEWBURY,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newburyport,molly ettenborough,8300,7800,7800,Curbside,,,Curbside,Bi-weekly,Yes,Yes,64,Both,10,35,Both,Both,Both,Neither,Yes,,,,,,,,,Yes,3,35,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,4,,,,,Yes,,Yes,5350.91,Yes,0,Yes,52,66.03,2502.54,,,,,0.76,53.46,100.32,4.8,11.58,0,82,240.3,41.16,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,,Yes,2,Yes,Yes,"We allow one item per week for bulk waste but we first tell people about the many recycling options and we don't take any metal items, those must be recycled.",,
Newton,Waneta Trabert,33500,28500,28500,Curbside,Yes,64,Both,Weekly,Yes,Yes,64,None,39,,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,,Yes,,Yes,Yes,,,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,17630,Yes,0,Yes,260,67.14,10058.85,,210.29,,,65.34,333.17,,,,,,940.95,59.41,74.5,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,,Yes,14,No,No,"Re: latex/oil paint collection: We take latex paint for reuse only (must be less than 3yrs old and more than half full) and we take oil-based paint at HHW collections, which occur 2x/month year round (starting in May of last year). 

Re: collection of tra",,
Norfolk,Robert J. McGhee,3710,1132,1132,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,,,Yes,,Yes,,65,,Yes,,,,,,,,,,,,,,,,,,,,,,562,No,287,Yes,,,,105,107,0,229.11,28.19,104.92,34,75.73,,,,203,8.67,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Year Round,,,Yes,26,No,Yes,,,
North Adams,Michael Canales,5913,5913,5913,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Both,Both,Both,,,Yes,,Yes,,60,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,,,,,,,,4366.29,Yes,0,Yes,,,,,,91.19,49.84,,0.91,,79.72,,,,,14.72,5.2,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,No,,,,,,
North Andover,Jim Stanford,11300,8250,8250,Curbside,,,Curbside,Weekly,Yes,,,None,5,32,Both,Both,Recycling,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,8150,Yes,0,Yes,,66.23,2200,,,,,,,14.17,,,,,540,,,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,0,Yes,2,Yes,Yes,"There are several businesses in town that are included in the municipal solid waste curbside pickup.
Bulky Waste - curbside pickup of bulky waste is limited to 1 item per week (per residential unit).  Bulky waste items on curbside pickup is free, however ",,
North Attleborough,Michele Bernier,10890,8789,8829,Both,,,Both,Weekly,Yes,Yes,96,None,6,38,Both,Both,Neither,Neither,,Yes,,,Yes,225,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,,,Yes,4542.37,Yes,0,Yes,,79,3021.38,0,17.49,5.35,2.93,16.11,80.51,0.88,14.98,8.99,,,1374.96,17.42,79.81,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,,,Yes,2,No,No,,,
North Brookfield,Christine Lentz,2315,1199,1199,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Both,Neither,,Yes,,,,60,,,Yes,,,,,,,,,,,,,,,,,,,,,,614.72,Yes,0,Yes,,77.25,,10.4,81,77.05,,,3,4.25,,,,,110,2.67,77.05,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,Year Round,Year Round,0,0,0,0,Year Round,Year Round,,Year Round,,,Yes,1,Yes,No,,,
NORTH READING,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northampton,Susan Waite,12076,2895,2895,Drop-off,,,Drop-off,,,,,Drop-off,,52,Neither,Neither,Both,Neither,,,Yes,,Yes,,25,,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,892.84,No,85.5,Yes,,69.09,,,,616.4,377.24,10.42,109.31,17.88,1,,,173.47,265,8.49,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Year Round,0,,Yes,1,No,Yes,,,
Northborough,Fred Litchfield,5905,4890,4980,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,1956,Yes,0,Yes,104,67.14,1159,,,,,0.75,,34.22,,,,,163.08,,,1 or 2,0,0,0,0,Year Round,0,0,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,,0,0,,Yes,1,No,No,,,
Northbridge,Jeanne Gniadek,5892,0,600,None,,,Drop-off,,,,,None,12,36,Recycling,Recycling,Recycling,Recycling,,,,Yes,,,,5,,,,,,,,,,,,,,,,Yes,,Yes,,,,Yes,0,Yes,0,Yes,,,,0,21,18,41,1,5,4.5,,,,,,4.5,,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,0,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Once a Week,,Once a Week,,,No,,,,Northbridge does not have a municipal trash collection program. The data in this report reflects to the best of our knowledge the activities of the Recycling Center which is run as a drop-off collection site for Northbridge residents. Under Section 7 - pl,,
Northfield,Jan Ameen,1141,868,868,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,20,,Yes,,,,,,,,,,,,,,,,,,,Yes,,Yes,441.59,No,0,,,70,,,,132.06,86.96,,34.22,6.14,,,,56,,2.54,,1 or 2,1 or 2,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,,Year Round,0,,No,,,,,,
NORTON,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwell,Brian Flynn,3493,3493,3493,Curbside,Yes,35,Both,Weekly,Yes,Yes,64,None,,52,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,2460.47,Yes,0,No,2,76.46,1499.26,,,,,,151.37,7.45,,,,,,30.5,,Year Round,0,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,,Yes,1,No,Yes,,,
Norwood,Mark,12836,9238,9238,Curbside,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,38,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,2,64,,Yes,,,,,,,,,,,,,,,,Yes,6047,No,428,Yes,156,86.1,4177.32,,,,,24.27,81.5,45.64,,13.81,,,2391,,,1 or 2,1 or 2,Once a Week,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,,Once a Week,0,,Yes,2,No,No,"1. Mattress count obtained from Bill of Lading and occasional confirmation by U-TEC. U-TEC has been great the past 4 months in verifying number of accepted mattresses.
2. Town has a Styrofoam drop off container. Conigliaro Industries picks up Styrofoam fo",,
Oak Bluffs,Richard Combra Jr,2970,2790,1982,Both,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,752.36,No,0,,,146.5,,47.57,63.29,,125.89,,,,,,,,,,,Between 3 & 10,0,1 or 2,1 or 2,Between 3 & 10,Year Round,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,1 or 2,1 or 2,1 or 2,0,0,0,0,0,0,0,No,,,,,,
OAKHAM,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,Jan Ameen,2453,1065,1065,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Recycling,Both,Neither,Yes,,Yes,,Yes,,28,,Yes,,,,,,,Yes,Yes,Yes,,,,,,Yes,,Yes,,Yes,,Yes,533.47,No,167.33,Yes,,77.5,307,,,,,,30,4.29,,,,5.99,70,8.83,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,,Yes,1,Yes,Yes,,,
Orleans,"Frank Nichols, PE",5362,3825,3825,Drop-off,,,Drop-off,,,,,None,,52,Neither,Trash,Neither,Trash,Yes,Yes,,Yes,,95,,2,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,1984,No,0,Yes,,59.16,,,153,202,344,,284.48,,,18.73,,,650,103.68,551,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,0,Yes,1,No,Yes,,,
Otis,James Crandall,1701,1200,1200,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,Yes,Yes,,,,50,,,,,,,,,,Yes,Yes,,Yes,Yes,,Yes,32,,,,,,Yes,,528.48,No,180.55,Yes,,77,,,,88.45,71.24,8.13,,2.83,,,,,3.5,6.8,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,,Year Round,0,,No,,,,,,
OXFORD,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmer,Chrissy Florence,4250,0,4250,None,,,Drop-off,,,,,None,,12,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,0,No,0,Yes,,,,,,95,49,,,,,,,,,,,0,1 or 2,1 or 2,1 or 2,1 or 2,0,0,0,1 or 2,1 or 2,0,0,0,1 or 2,1 or 2,1 or 2,0,Year Round,Year Round,0,Year Round,0,0,Yes,1,No,No,,,
Paxton,Sheryl Lombardi,1563,1563,1563,Curbside,,,Both,Weekly,,,,None,,52,Both,Neither,Neither,Neither,,Yes,,,,178,,,,Yes,5,64,,Yes,,Yes,Yes,,,,Yes,,,,,,,Yes,,Yes,1253,No,0,Yes,,67.14,,2.6,2.4,0.6,,1.09,6.65,0.19,,1.73,,,,4,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,,Yes,6,Yes,No,"Regarding question #8 above, the numbers given were from the Regional Recycling Center.  Our tonnages for curbside recycling collection are not broken down.",,
Peabody,Bert Maria,21313,19295,19295,Both,,,Both,Weekly,Yes,,,None,14,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,3,36,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,,16797.21,Yes,0,No,,64.5,,,,2128.46,1698.55,,802.36,58.85,,,,,2188.41,116.02,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,0,,Yes,1,Yes,No,,,
