Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Did your municipality host comprehensive household hazardous waste collection events in 2011?,How many events?,Regional,Reciprocal,Comments/Additional Information,
SOUTHWICK,Jeffrey A. Neece,3300,3300,3300,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Neither,Neither,,,,,,,Yes,Yes,,,,2456,Yes,,,,273,144,,134,,600,1.5,,,1000,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
SPENCER,"Steven J. Tyler, P.E.",3710,2480,2480,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Neither,Neither,Yes,,,,,,,,,Yes,,1708,No,0,0,0,404,83,24,23,32,,,,,,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,Year Round,0,1 or 2,0,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,Yes,No,,
SPRINGFIELD,Greg Superneau,44000,44000,44000,Curbside,Yes,95,Both,Yes,Yes,95,None,Curbside,30,52,Both,Neither,Both,,,,,,,Yes,Yes,,,,43825,No,8118,,,,,,,,,,,,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,5,No,No,,
STERLING,William,3752,3752,3752,Curbside,,,Both,,,,None,Drop-off,,52,Both,Recycling,Neither,,,,,,,,,,Yes,Yes,2074,No,,,30,400,240,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Yes,4,Yes,No,"We have a great curbside, and recycling center and particiapte in the wachusett earthday regional program.",
STOCKBRIDGE,Jorja-Ann P. Marsden,1390,1194,1194,Drop-off,,,Drop-off,,,,None,None,,,Both,Neither,Both,,,,,,,,,,Yes,,790,No,,,,266,139,,27.12,,,12.76,,,,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,Year Round,0,0,0,0,No,,,,,
STONEHAM,Dan Dragani,8000,8000,8000,Curbside,,,Curbside,,,,None,Curbside,7,56,Both,Both,Neither,,,,,,,,,,,,7678,Yes,,,,627,421,,24.46,,,,,,2250,0,0,Once a Week,Once a Week,Once a Week,0,0,0,Once a Week,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,No,,,,The 8000 households in town includes 1000 condo units which are now on the towns trash program.,
STOUGHTON,John M. Batchelder,9744,7113,7113,Curbside,,,Both,,Yes,14,None,Drop-off,,52,Both,Neither,Neither,,,,,,,,,,,,12053,Yes,,333,18,,348,,83,,,,,,2600,1 or 2,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,No,Yes,,
STOW,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STURBRIDGE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUDBURY,William Place,5474,1459,2140,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Neither,Neither,Neither,Yes,,,,,,,,,Yes,,850,Yes,0,31,433,304,0,,150,8.5,,,,,106,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,Sudbury does not accept oil-based paint.,
SUNDERLAND,Jan Ameen,900,0,0,None,,,None,,,,None,None,,,Neither,Neither,Neither,,,,,,,,,,,,0,No,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,Yes,Yes,,
SUTTON,Mark Brigham,2710,905,905,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Neither,Neither,Yes,,,,,,,,,Yes,,546,Yes,,,83,132,105,,49,1,,,,,65,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
SWAMPSCOTT,Jeff Vaughan,4900,4240,4240,Curbside,,,Curbside,,,,None,Both,6,32,Both,Both,Neither,,Yes,3,35,Yes,,,,,,Yes,4976,Yes,,,,702,340,,30.7,,,,,,287,1 or 2,0,1 or 2,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,Yes,No,3 barrel limit started in November of 2011.  We hold two xmas tree collections along with the 6 yard waste collections.  Approx. 5% of businesses are collected curbside for tr/rec.  Residents can purchase yard waste stickers for drop-off at Landscape Gard,
SWANSEA,Moe Pukulis,5778,5483,5483,Curbside,,,Curbside,,,,None,Curbside,40,,Both,Recycling,Neither,Yes,,,,,,,,,,,3163,Yes,,,,639,476,,4.26,,,,,,1158.49,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,No,No,,
TAUNTON,Angela Santos,22045,17357,21046,Both,,,Both,,,,None,Both,3,52,Both,Both,Neither,Yes,,,,,,,,,Yes,Yes,13991,Yes,,43,195,2291,1364,,114.14,,,,,,601.39,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,No,No,,
TEMPLETON,Philip Leger,3200,0,0,None,,,None,,,,None,None,,4,Neither,Neither,Neither,,,,,,,,,,,Yes,0,No,0,,,,,,,,,,,,,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Between 3 & 10,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,"We do bulky waste collection 3-4 times a year which includes CRT's, metal, propane tanks, and yard waste. We do a haz/mat collection once a year.",
TEWKSBURY,Sandra Barbeau,11040,10262,10262,Curbside,Yes,64,Curbside,,,,None,Curbside,13,,Both,Both,Neither,,,,,,,,,,,,10065,Yes,,,,13186,906,,,,,,,,,0,0,Once a Month,Once a Month,0,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
TISBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOLLAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOPSFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOWNSEND,Carla Walter,3315,2914,2914,Curbside,,,Both,,,,None,Drop-off,,25,Both,Both,Recycling,,Yes,6,32,Yes,Yes,Yes,Yes,,Yes,Yes,2946,Yes,,,,420,320,,,,,,,,11,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,10,Yes,No,"It is next to impossible to get tonnage for mattresses, yard waste, carpet, etc.  We have two bins at the Recycling Center for furniture and bulky.  How do you suggest we report such details?  Thank you.
Best,
Carla",
TRURO,Paul Morris,1000,1000,1000,Drop-off,,,Drop-off,,,,Drop-off,Drop-off,,52,Both,Both,Both,,,,,,,,,,Yes,,1526,Yes,,,,215,115,,37,62,,,,225,820,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,3,Yes,No,,
TYNGSBOROUGH,Kerri Oun,4114,3360,3360,Curbside,Yes,64,Curbside,,,,None,Curbside,4,,Both,Both,Neither,,,,,,,,,,,Yes,3917,No,,,,674,485,,,,,,,,105,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
TYRINGHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPTON,Diane Tiernan,2667,2092,2101,Curbside,Yes,96,Curbside,Yes,,,None,None,,,Both,Both,Neither,Yes,Yes,5,96,Yes,,,,,,Yes,1502,No,631,,,,,1,32,,,1.75,2.3,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,Just to clarify - we have a 5 bag limit per week per resident.   We mandate the residents use a 96 gallon barrel that their trash is placed inside of.   We also offer a barrel that is 32 or 64 gallons for those who do not generate much trash.,
UXBRIDGE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAKEFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALES,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALPOLE,Robin Chapell,8550,7250,7250,Curbside,,,Both,,,,None,Drop-off,,52,Both,Both,Neither,,Yes,6,32,,Yes,,,,,Yes,7253,Yes,,,,1161,558,,,,,,,,,Between 3 & 10,0,Between 3 & 10,Year Round,Between 3 & 10,Year Round,1 or 2,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Yes,1,No,Yes,THe reason I responded 3-10 on some of the questions was because of our reciprocal agreements,
WALTHAM,Eileen Zubrowski,23000,22500,23000,Curbside,,,Curbside,,,,None,Curbside,34,,Trash,Trash,Trash,,,,,,,,,,,Yes,24491,No,3097,,,,,,,,,,,,2033,Between 3 & 10,0,Once a Week,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,8,Yes,No,"#4  Businesses.  Recycling collection only on existing residential recycling routes.  No trash collection.
#7  Compost Bins may be purchased by Waltham residents at Lexington Public Works Dpt.
#8  Recycling tonnage is reported as single stream by Casella ",
WARE,Stuart Beckley,4120,0,0,None,,,None,,,,None,None,,3,Neither,Neither,Neither,,,,,,,,,,,,0,Yes,0,0,0,0,0,,,,,,,,,0,0,1 or 2,1 or 2,0,1 or 2,0,0,0,0,1 or 2,1 or 2,0,0,0,No,,,,,
WAREHAM,Marilyn Russell,17670,0,300,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Both,Neither,,,,,,,,,,Yes,Yes,2380,Yes,0,41,140,0,3,,5.1,,,,,1.72,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,"Wareham has a ""mixed bag"" when it comes to solid waste & recycling pickup.  We have at least 3 private trash haulers in town and 2 or 3 others that just pick up cardboard & trash from businesses.  We also available to Wareham residents purchasing a yearly",
WARREN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARWICK,Jan Ameen,285,250,250,Drop-off,,,Drop-off,,,,None,None,,,Both,Neither,Both,Yes,,,,,,,,,,Yes,136,Yes,,,,27,23,,11.05,,,,,,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,Yes,1,Yes,Yes,,
WASHINGTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATERTOWN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAYLAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEBSTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WELLESLEY,Gordon Martin,8100,8100,8100,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Both,Neither,,,,,,,,,,Yes,,8519,Yes,0,1156,1419,1132,746,131,438,173,809,,,,6800,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
WELLFLEET,Mark Vincent,3660,3300,3660,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Both,Both,,,,,,,,,,Yes,Yes,1780,No,,133,86,80,140,,137,5,5,2.76,97,,1550,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,3,Yes,No,,
WENDELL,Jan Ameen,375,340,340,Drop-off,,,Drop-off,,,,None,None,,,Both,Neither,Neither,Yes,,,,,,,,,Yes,Yes,213,Yes,,,,45,41,,,,,,,,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,Yes,1,Yes,Yes,,
WENHAM,Bill Tyack,1448,1287,1287,Curbside,Yes,35,Curbside,Yes,,,Curbside,Drop-off,,4,Both,Both,Both,Yes,Yes,1,35,Yes,,,,,,Yes,930,Yes,463,,,,,,,,,,,,,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,Hamilton-Wenham Schools are not included in these figures.,
WEST BOYLSTON,Silvio Baruzzi,2633,2458,2458,Curbside,,,Curbside,Yes,,,None,Drop-off,0,8,Trash,Trash,Neither,Yes,,,,,,,,,,,1424,No,660,,,,,,,,,,,,206,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Once a Week,Once a Week,Between 3 & 10,Between 3 & 10,Between 3 & 10,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Yes,4,Yes,No,,
WEST BRIDGEWATER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST BROOKFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST NEWBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST SPRINGFIELD,Michael Pattavina,12400,8600,8600,Curbside,,,Both,,,,None,Both,6,40,Both,Both,Neither,,,,,,,Yes,Yes,,,Yes,7712,No,,,,855,402,,364,2.3,,,,,28000,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,,
WEST STOCKBRIDGE,John Olander,685,685,685,Drop-off,,,Drop-off,,,,Drop-off,Drop-off,,52,Both,Neither,Both,,,,,,,Yes,Yes,,,,457,Yes,,,,111,52,,26.55,,,,,,,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,2,Yes,No,"No school in town-schools are in Great Barrington and elsewhere.
Trash tonnage total does not include recyclables.",
WEST TISBURY,Don Hatch,2204,1197,1197,Drop-off,,,Drop-off,,,,None,None,,,Both,Both,Both,Yes,,,,,,,,,Yes,,413,No,,,,148,156,,,,,,,,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Yes,4,Yes,No,,
WESTBOROUGH,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTFIELD,Barry Searle,13700,9600,9600,Both,Yes,96,Both,,Yes,60,None,Both,1,52,Both,Both,Neither,,,,,,,,,,,Yes,12844,Yes,567,,,1823,684,,174.6,6.5,,,,,1900,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Once a Week,Once a Week,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,"In the  ""other materials"" category we itemize as follows: 43.65 tons of e-wastes (42,90 tons CRTs and  0.75 tons mixed e-waste), 10.07 tons of tires, 23.1 tons of freon-bearing appliances, 16.22 tons of books and 0.25 tons of electric ballasts for an addi",
WESTFORD,Kris Erickson,7396,7346,7346,Curbside,,,Curbside,Yes,Yes,64,None,None,,,Both,Both,Neither,,Yes,5,32,,Yes,,,,,Yes,8210,Yes,2815,,,,,,24.15,,,,,,,0,0,Between 3 & 10,Between 3 & 10,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
WESTHAMPTON,Eric Weiss,550,550,550,Both,,,Both,,,,None,None,,,Both,Both,Both,Yes,,,,,,Yes,Yes,,,Yes,392,Yes,,,,78,34,,17.5,11,,,,,,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,
WESTMINSTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTON,Robert L. Hoffman,3550,1750,2000,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Both,Neither,,,,,,,,,,Yes,,2111,Yes,,234,338,0,237,,68.82,7.32,2.8,,,,589.97,1 or 2,0,Year Round,Year Round,0,Year Round,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
WESTPORT,James J. Walsh,6596,2210,2210,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Neither,Both,Yes,,,,,,,,,,,1005,Yes,0,103,116,100,235,46,,9.25,,,,,21,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,No,,,,,
WESTWOOD,Chris Gallagher,4607,4607,4607,Curbside,,,Curbside,Yes,,,None,Curbside,10,,Both,Both,Neither,,,,,,,,,,,Yes,3000,Yes,1298,,,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Yes,1,No,Yes,,
WEYMOUTH,Jeff Bina,17000,17000,17000,Curbside,,,Both,Yes,,,None,Both,20,36,Both,Both,Neither,,,,,,,,,,,Yes,19226,Yes,2948,,,,,,4,3,,,,4500,,1 or 2,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Yes,2,No,Yes,,
WHATELY,Jan Ameen,500,450,450,Drop-off,,,Drop-off,,,,Drop-off,None,,,Both,Neither,Neither,Yes,,,,,,,,,Yes,Yes,166,No,,,,85,38,,4,,,,,5,,0,1 or 2,1 or 2,1 or 2,0,Year Round,1 or 2,0,0,0,Year Round,Year Round,0,0,0,Yes,1,Yes,Yes,,
WHITMAN,Bruce Martin,4279,3778,3778,Curbside,,,Curbside,Yes,Yes,32,Curbside,Drop-off,,52,Both,Neither,Neither,,Yes,3,32,Yes,Yes,Yes,Yes,Yes,,,4623,No,893,,,,,,3.83,,,6.63,,,,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,0,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,No,Yes,,
WILBRAHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSBURG,Eric Weiss,900,900,900,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Both,Both,,,,,,,Yes,Yes,,,Yes,560,Yes,,,,162,69,,60,15.6,,,,,4,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,
WILLIAMSTOWN,Sandy Totter,2223,1217,1217,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Neither,Both,Yes,,,,,,,,,Yes,Yes,489,Yes,,,,240,91,,17,,,,,,285,0,0,Year Round,Year Round,Year Round,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,0,No,,,,,
WILMINGTON,Donald Onusseit,7200,7200,7200,Curbside,,,Curbside,Yes,,,None,Both,8,19,Both,Both,Neither,,,,,,,,,,,Yes,9228,Yes,1404,,,,,,,,,,,,1650,1 or 2,1 or 2,Year Round,0,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
WINCHENDON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WINCHESTER,Norman Doucette,7700,5000,5000,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Both,Both,,,,,,,,,,Yes,Yes,9294,Yes,,,,1088,449,,212.03,85.48,,,,,3062.35,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,We collect latex paint year round at the transfer station only. We also sent 366 tons of C&D Waste to the North Andover-Wheelabrator incinerator in addition to MSW. We have a swap shop and recycled 12 tons of used books last year.,
WINDSOR,Sandy Totter,328,328,328,Drop-off,,,Drop-off,,,,None,None,,,Both,Neither,Neither,Yes,,,,,,,,,Yes,Yes,178,Yes,,,,35,18,,12,,,,,,,0,Year Round,1 or 2,1 or 2,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,0,No,,,,,
WINTHROP,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOBURN,John Fralick,15600,12070,12070,Curbside,,,Curbside,Yes,,,None,Curbside,10,,Both,Both,Neither,,,,,,,,,,,,18862,Yes,2322,,,,,,191,,,,,,4504,Between 3 & 10,Between 3 & 10,Year Round,0,Once a Month,Year Round,Year Round,Once a Month,Once a Month,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,8,Yes,No,"Woburn has curbside trash/recycling only for residences, schools and municpal buildings. Businesses not included. Recycling is single stream. White goods is given per unit by Waste Management, not by ton",
WORCESTER,Robert J. Fiore,67000,52000,52000,Curbside,,,Both,Yes,,,None,Both,8,32,Both,Neither,Neither,Yes,,,,,,,,,,Yes,20972,No,9616,,,,,,,,,,,,21339,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Between 3 & 10,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,3,No,No,"In calendar year 2011, Worcester recorded collecting 496 mattresses, 302 box springs and 357 carpets 16 ft x 16 ft or less at our Resdiential Drop-Off Center.  These items are not weighed separately and are deposited in roll-off containers for burnable bu",
WORTHINGTON,Eric Weiss,500,500,500,Drop-off,,,Drop-off,,,,None,None,,,Both,Both,Both,Yes,,,,,,Yes,Yes,,,Yes,244,Yes,,,,74,32,,31.4,12.6,,,,,,0,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,
WRENTHAM,Maureen Osolnik,3750,3750,3750,Curbside,,,Curbside,,,,None,Drop-off,,52,Both,Both,Neither,Yes,,,,,,,,,,Yes,2558,No,0,805,,,466,,,,,,,,,1 or 2,1 or 2,Once a Week,Once a Week,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,I am still trying to get figures in metals and white goods  rigid plastics. wil provide later.,
YARMOUTH,Robert Angell,11520,9000,11520,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Neither,Recycling,,,,,,,,,,Yes,,8934,No,,465,334,,563,,471,146,,,,,805,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,"All of Yarmouth's C&D, mattresses and bulky waste are mixed together in 100 yd. trailers and sent to a DEP permitted processing facility. I did not include these wieghts in either the waste or recycle numbers.",
