Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT revenue?,What is the annual fee?,What is the per-visit fee?,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station / recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2015,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Did your municipality host comprehensive household hazardous waste collection events in 2014?,How many events?,Regional,Reciprocal,Comments/Additional Information,
Northampton,Susan Waite,11583,3316,3316,Drop-off,,,Drop-off,,,,,Drop-off,,52,Neither,Neither,Both,Neither,,Yes,,Yes,25,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,1085,No,88,Yes,67,,,,684,361,9,16,3,,,,127,482,5,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Yes,1,No,Yes,"RE: #6 (Yard Waste/Xmas Tree Collection), in addition to the yard waste drop off listed, Northampton holds Xmas Tree collections on two consecutive Saturdays in January. These collections are free and open to the public (transfer station permit not required).Re: #8 (Recycled/Composted Tonnage):1) Our clean wood collection program began in April, 2015. No 2014 tonnage data is available.2) Revenue/cost per ton data for mixed paper, co-mingled containers, bulky rigid plastic, scrap metal, and E-waste does NOT include transport & labor costs.3) Revenue/cost per ton data for food waste includes transport, labor, equipment & supplies costs.",
Northborough,Fred Litchfield,5846,4919,4919,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,Yes,,,Yes,1846,Yes,,Yes,64,1139,,,,,1,2,,,,,,1506,,1 or 2,0,1 or 2,1 or 2,1 or 2,,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,0,,Yes,1,No,No,"1)There is a private hauler licensed to collect trash and recycling in Northborough with about 927 customers, but their customers can also use town bags if they choose to. 2) The Town only holds one HHWD event per year as a result of a severe drop in participation once a $10 per box fee was implemented in 2005. 3) The trash and recycling tonnage reported above does not include school amounts because the School Department hired a separate contractor to collect trash and recycling as of July 1, 2011. 4) The amount of yard waste disposed of in 2014 was higher than most years as the DPW cleaned out an area containing yard waste accumulated over several years and now plans to remove all yard waste collected each year. 5) The town offered all condominiums the opportunity to join the program when it started in 2003 but only some have joined.",
Northbridge,Theodore Kozak,5828,0,600,None,,,Drop-off,,,,,None,12,36,Recycling,Recycling,Recycling,Recycling,Yes,,,,,,,,,,,,,,,,,Yes,,,Yes,0,Yes,,No,,,,27,24,50,1,4,,,,,,,3,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,,Once a Week,Once a Week,Once a Week,0,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,,No,,,,"3. Municipal Recycling Program: Please note that the Municipal Recycling Program is a DROP-OFF program and it is unknown as to which properties (single family, multi-family, condos, apartments) take advantage of the Drop-Off center.4. Northbridge does not have a solid waste program other than the regional drop-off recycling center which is available to municipal buildings, schools, businesses, and non-residents. Under B the questionnaire request an answer as to ""funding source"" - there is NO FEE/FUNDING SOURCE - please note that this response of ""property tax"" is NOT APPLICABLE but a response was REQUIRED.5. Solid Waste Collection: Please note that the response under A. was ZERO but responses were required under B, C, & D - these responses are NOT APPLICABLE to the Town of Northbridge - response only provided as this was a REQUIRED FIELD.",
Northfield,Jan Ameen,1144,900,900,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Neither,Neither,Neither,Yes,Yes,,Yes,5,,Yes,,,,,,,,,,,,Yes,,Yes,371,No,0,No,74,,,,143,93,,29,1,,,,36,,4,0,1 or 2,Year Round,Year Round,0,,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,No,,,,,
NORTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwell,Brian Flynn,3451,3451,3451,Curbside,,,Curbside,Weekly,Yes,,,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,Yes,4,39,,Yes,,,,,,,,,,3691,Yes,,No,71,1135,0,22,6,,,45,,,,,,,33,Year Round,1 or 2,Year Round,Year Round,Between 3 & 10,,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,1,Yes,No,,
Norwood,Doris Burtman,13198,10153,10153,Curbside,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,30,30,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,7100,Yes,,Yes,,2604,,,,,225,369,15,,17,,,2125,58,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,,No,,,,"Under scrap metals of the total 285T (curbside pick up WM) 84 T was dropped off. The 84 T of scrap metals generated $13,725. Revenue applies only to 84T under the scrap metals.",
Oak Bluffs,Richard Combra JR,2644,2644,2644,Both,,,Drop-off,,,,,None,,52,Both,Trash,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,813,No,0,No,146,,71,62,,131,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
OAKHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,Jan Ameen,2489,1144,1144,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Recycling,Both,Neither,Yes,Yes,,Yes,28,,Yes,,,,,,,,,,,Yes,Yes,,Yes,545,No,177,Yes,80,314,,,,,,27,9,,,,4,110,8,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Yes,1,Yes,Yes,,
Orleans,Mark J. Budnick,5300,3286,3457,Drop-off,,,Drop-off,,,,,None,,52,Neither,Trash,Neither,Trash,Yes,Yes,Yes,,95,5,,,,,,,,Yes,,Yes,No,,Yes,,Yes,2155,No,709,Yes,58,0,0,158,264,150,0,141,0,0,11,,0,800,,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,1,No,Yes,"Glass container only are recycled at a cost to townUnable to develop tonnage for carpets. Carpets are collected by item and mixed with Bulky waste 160 pieces of carpet were collected for a revenue of $1,600. Currently we have a demo/bulky waste tipping fee of $90/tonWe do not track wood collections separately. Wood is considered in Demo/bulky waste tonnagesScrap Metal/Large Appliances does not contain Freon containing appliances. These are handled separately from non-Freon containing appliancesEWaste is recorded per unit: CM 181,TV: 717, Other: 75. Total Revenue $5,112",
Otis,James Crandall,1701,1200,1701,Drop-off,,,Drop-off,,,,,None,,30,Both,Both,Both,Both,Yes,Yes,,,50,,,,,,,,,Yes,,Yes,Yes,,,,,544,No,188,Yes,77,65,,,101,,,,,,,,,3,5,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,No,,,,,
Oxford,Sean Divoll,4000,0,0,None,,,None,,,,,None,,32,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,0,No,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Between 3 & 10,Between 3 & 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,,,,,
PALMER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paxton,Sheryl Lombardi,1250,1250,1250,Curbside,,,Curbside,Weekly,,,,None,,52,Both,Both,Both,Neither,,Yes,,,174,,,Yes,5,30,,Yes,,Yes,Yes,,,,,,,1230,No,0,Yes,64,,,,238,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,"The Town of Paxton is a member of the Wachusett Watershed Regional Recycle Center that provides recycling for hazardous products,chemical, paints, household items, electronics, tires etc.",
Peabody,Bert Maria,21313,19295,19295,Both,,,Both,Weekly,,,,None,12,52,Both,Both,Neither,Neither,Yes,,,,,,,Yes,3,36,,Yes,,Yes,Yes,,,,,,,16911,Yes,,No,74,,,,1827,1558,,576,8,,,,,2353,129,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,1,Yes,No,,
PELHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pembroke,Edwin J. Thorne,6500,6000,6000,Curbside,,,Both,Weekly,Yes,Yes,64,None,1,52,Both,Both,Neither,Neither,,Yes,,,200,,,Yes,4,35,,Yes,,,,,,,Yes,Yes,,5900,Yes,,No,55,1908,3,3,3,3,2,65,2,39,2,3,0,329,65,Year Round,Year Round,Year Round,Year Round,1 or 2,,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,2,No,No,,
PEPPERELL,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Sandy Totter,320,320,320,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,204,No,9,Yes,,,,,26,14,,16,,,,,,,,0,0,0,0,0,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,,
Petersham,Fifi Scoufopoulos,531,375,375,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,Yes,,Yes,25,,Yes,,,,,,,,,,,,Yes,,,198,Yes,,Yes,100,,,,58,39,,,2,,,,,,,Year Round,Year Round,1 or 2,1 or 2,Year Round,,Year Round,1 or 2,0,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,Year Round,,No,,,,"All paper, news, OCC and mixed paper are combined. Some rigid plastics are included in containers. Recyclables are charged by the haul not ton; no revenue. Some material is taken at other locations in town such as the Town Barn for waste oil.",
Phillipston,Matt Pearson,807,807,807,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,Yes,,,176,Yes,,Yes,120,107,,,,,,9,2,,,,,,1,Year Round,Year Round,Year Round,Year Round,1 or 2,,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,0,0,Year Round,,No,,,,,
PITTSFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plainfield,Kathleen A. Casey,296,225,250,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,,,Yes,,,Yes,,,,,,,Yes,,Yes,No,,,Yes,Yes,104,No,25,Yes,71,,,,29,27,,6,2,,,,,,4,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,"The Town of Plainfield does not have a website. Community events are shared through a local town newsletter and posted throughout the community - town offices, churches, post office, businesses, and the transfer station.Information concerning Transfer Station Fees and Household Hazardous Waste Collection events are additionally hosted on the HRMC website.The HRMC representative for the Town frequently submits recycling news in the Town newsletter.",
Plainville,Deborah J. Revelle,3641,1826,1826,Curbside,,,Both,Weekly,Yes,,,None,2,48,Both,Both,Neither,Neither,,Yes,,Yes,120,,Yes,,,,,,,,,,,Yes,,,Yes,1332,Yes,,Yes,80,690,,,,,,14,,,,,,362,12,Year Round,Year Round,Year Round,Year Round,1 or 2,,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,No,No,"out of the 3641 households in Plainville 1826 are on the municipal collection program, it is therefore assumed that 1815 have private collection. Out of the 1815 that have private collection, it has been confirmed that 814 have recycling service. Either recycling carts or recycling only dumpsters are located on the multi unit properties.",
Plymouth,Sandra Strassel,29786,9665,10328,Both,Yes,65,Both,Bi-weekly,Yes,Yes,95,None,,52,Both,Both,Neither,Neither,,Yes,,Yes,170,,Yes,,,,,,,,,,,,,,Yes,7041,No,0,Yes,65,1745,513,208,,362,,242,,,,,,640,,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,2,Yes,Yes,Municipal Program Annual Fees:$170 / Curbside Service$90 / Transfer Station Access$260 / Both Curbside Service & Transfer Station Access$10 / Recycle Only Sticker for the Transfer Station,
PLYMPTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princeton,Terri Longtine,1472,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,Yes,Yes,,0,No,0,No,,0,,,,,0,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,4,Yes,No,Drop off recycling available at Wachusett Watershed Regional Recycling Center.,
Provincetown,David Gardner,3892,3056,3056,Curbside,,,Curbside,Weekly,Yes,,,None,12,52,Both,Both,Neither,Both,Yes,Yes,,,50,,,Yes,2,32,Yes,,No,,,,,,Yes,,,2520,Yes,,Yes,37,1179,,412,,,,11,,14,,,,,4,0,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,,Yes,1,Yes,No,,
Quincy,john sullivan,40000,32000,32000,Curbside,,,Both,Weekly,Yes,,,None,24,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,28468,Yes,,No,69,5052,,,,,,24,6,,,,,10000,,1 or 2,0,Year Round,Year Round,1 or 2,,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,2,No,No,,
Randolph,John McVeigh,11564,8654,8654,Curbside,,,Curbside,Bi-weekly,Yes,Yes,96,None,2,24,Both,Both,Neither,Neither,Yes,Yes,,,230,,,,,,,,,Yes,Yes,Yes,No,,,,Yes,9600,Yes,,Yes,73,2500,,,,,,,,,,,,1200,28,Year Round,Once a Month,Once a Month,Once a Month,1 or 2,,Once a Month,1 or 2,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,Yes,No,,
RAYNHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,Michael O'Halloran,8694,8272,8272,Curbside,,,Curbside,Weekly,,,,None,5,35,Both,Both,Neither,Neither,Yes,,,,,,,Yes,4,30,,Yes,,Yes,Yes,,,,,,,7103,Yes,,No,62,,,,1779,1325,5,9,20,,,,,5222,47,1 or 2,1 or 2,Year Round,Year Round,Year Round,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,,Yes,1,No,No,,
REHOBOTH,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVERE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCHESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockland,Janice McCarthy,5970,4354,4354,Curbside,,,Curbside,Weekly,Yes,,,None,,52,Both,Both,Neither,Neither,,Yes,,,204,,,,,,,,,Yes,Yes,,,Yes,,,Yes,4889,No,323,Yes,60,1122,,,,,,15,,,2,,,300,22,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,,
Rockport,Mr. Joseph Parisi,4023,3211,3211,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,,,,Yes,,,Yes,,,,,,,Yes,,Yes,Yes,,Yes,,Yes,2920,Yes,,Yes,,0,0,0,477,283,0,20,20,0,0,0,0,1000,20,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Yes,5,No,Yes,,
Rowe,Jan Ameen,216,206,206,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,Yes,,Yes,117,No,35,No,67,,,,29,14,,15,,,,,,,2,Year Round,Year Round,Year Round,Year Round,0,,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,No,,,,Rowe's reuse shed includes clothing that is redistributed to residents using the transfer station. There is no tonnage estimate.,
ROWLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royalston,Philip Leger,562,375,375,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,Yes,Yes,Yes,Yes,15,,Yes,,,,,,,,,,,,Yes,,Yes,173,No,129,Yes,120,,,,65,40,,20,4,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,No,,,,,
Russell,Nancy Boersig,960,370,370,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,Yes,,Yes,35,,Yes,,,,,,,Yes,,Yes,Yes,,,,,365,Yes,,Yes,,,,,,,,,,,,,,,,0,1 or 2,1 or 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
Rutland,Gary Kellaher,2632,1,1,None,,,None,,,,,None,,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,Yes,,Yes,0,No,0,Yes,,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,,Yes,4,Yes,No,Private subscription community and a member of Wachusett.,
Salem,Julie Rose,14000,13765,13765,Curbside,,,Curbside,Weekly,,,,Curbside,6,52,Both,Both,Recycling,Neither,Yes,,,,,,,Yes,3,35,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,12500,Yes,,No,64,,,,1735,1154,24,10,7,,0,0,116,1700,65,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,1 or 2,0,1 or 2,1 or 2,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,,Yes,1,No,Yes,"On the condos question; we service a total of 1,600 condos. Some are very large complexes; some are not. The current question does not allow for this answer.",
SALISBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDISFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich,PAUL TILTON,8500,4800,4800,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Trash,Both,,Yes,,Yes,55,,Yes,,,,,,,,,,,Yes,,,Yes,3129,No,246,Yes,65,,,,971,592,,339,75,,6,11,,2784,44,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,1,Yes,Yes,,
Saugus,Lorna L. Cerbone,9975,8758,8758,Both,,,Both,Weekly,,,,None,38,40,Both,Both,Neither,Neither,Yes,,,,,,,Yes,3,36,Yes,Yes,Yes,,,,,Yes,,,,8018,Yes,,Yes,64,,1122,,,1056,1,3,,,,,,865,203606,1 or 2,1 or 2,Year Round,Year Round,1 or 2,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,,Yes,1,No,Yes,,
Savoy,Sandy Totter,287,122,122,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,Yes,,,45,,Yes,,,,,,,,,,,,,,Yes,82,No,2,Yes,,,,,10,7,,41,,,,,,,,0,1 or 2,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,1 or 2,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,"Savoy held its annual bulky waste day in October 2014 on a day of torrential rains! A small turnout and so the electronics container did not come anywhere near full and has been at the Transfer Station since, slowing collecting. That electronics tonnage will be reported in 2015.",
Scituate,Kevin Cafferty,7492,5421,5421,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Both,Neither,,Yes,,Yes,80,,Yes,,,,,,,Yes,,Yes,No,,Yes,,,2794,No,2033,Yes,91,,,,945,555,,198,158,,14,,,6000,95,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,1,Yes,Yes,,
Seekonk,Elizabeth Lamothe,5050,4889,4889,Curbside,Yes,64,Both,Weekly,,Yes,64,None,16,52,Both,Neither,Neither,Neither,,Yes,,Yes,184,,,,,,,,,Yes,Yes,Yes,No,,,,,2936,No,0,Yes,72,1446,,,,,,,,,,,,,,Year Round,Once a Month,Once a Month,Once a Month,Year Round,,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Yes,1,No,No,,
Sharon,Elizabeth Curley,5796,4907,4907,Curbside,,,Curbside,Bi-weekly,Yes,Yes,96,None,8,21,Both,Trash,Neither,Neither,,Yes,,,,,,,,,,,,,,,,,,,,4600,No,0,Yes,65,1799,,,,36,,,,,,,,658,,Year Round,Year Round,Year Round,Year Round,1 or 2,,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Yes,1,No,No,,
Sheffield,Alicia Dulin,1573,822,836,Drop-off,,,Drop-off,,,,,None,,,Both,Recycling,Neither,Neither,,Yes,,,165,,,,,,,,,,,,,Yes,,Yes,,563,Yes,,Yes,90,,,,88,106,,26,,,2,,,,,0,0,Year Round,Year Round,0,0,0,0,0,0,Year Round,0,0,0,0,0,0,0,0,No,,,,If a household already has a Transfer Station sticker they are allowed one Bulky Waste coupon free of charge. If a household does not have a Transfer Station sticker they are charged $25 for a Bulky Waste coupon.,
Shelburne,Jan Ameen,607,520,520,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,Yes,,Yes,280,No,0,No,74,,,,83,47,,,,,,,,,,0,0,0,0,0,,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,No,,,,Charlemont and Shelburne share a transfer station site but have separate trash and recycling systems. They share 2 Salvation Army boxes. All tonnage is being reported on Charlemont's survey because they own the site but some of the textile/book tonnage is from Shelburne residents.,
Sherborn,Carol Rubenstein,1496,1496,1496,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,Yes,Yes,Yes,No,,Yes,,Yes,1428,Yes,,Yes,64,,,,462,182,,46,15,,6,3,10,,13,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Yes,1,No,Yes,"Scrap metal revenue ranged from $135/load to $200/load, so I simply counted the number of loads and added the revenue received and divided the revenue by the number of loads to get an average.Our food waste is picked up by a company that charges by the month for providing 4-64 gallon toters. I simply divided the monthly charge by the number of gallons we collect to get the charge per ton. We estimate our food waste weighs 7 pounds per gallon because it is quite wet.For the Electronics cost per ton, because only CRT's and laptops are charged and all other mixed E-waste is not, I simply added up all the charges and divided the total by the total tons of all the electronics collected (whether there was a charge for them or not) in order to derive a cost per ton of all electronics.",
Shirley,Joseph Howlett II,2460,1896,1896,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,52,Both,Neither,Both,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,Yes,,,,910,No,0,No,73,391,,,,,,,,,,,,15,10,Once a Month,Once a Week,Once a Week,Once a Week,Once a Month,0,0,Once a Month,0,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,0,0,Yes,8,Yes,No,We are a member of Devens Hazardous Waste,
