Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT revenue?,What is the annual fee?,What is the per-visit fee?,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station / recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2016,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Did your municipality host comprehensive household hazardous waste collection events in 2015?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
New Marlborough,Sharon Fleck,924,350,350,Drop-off,,,Drop-off,,Yes,,,None,,,Recycling,Neither,Recycling,Recycling,,Yes,,,105,,,,,,,,,Yes,Yes,,Yes,10,,Yes,,,217,No,0,Yes,,105,,,,,,20,,,0.55,,,,10,0,Year Round,Year Round,Year Round,1 or 2,Year Round,0,1 or 2,,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,0,0,0,0,0,No,,,,,,
New Salem,Jan Ameen,449,340,340,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Neither,Neither,Neither,Yes,Yes,,Yes,20,,Yes,,,,,,,,,,,,,,Yes,Yes,145.99,No,22.41,Yes,68,,,,48.92,35.59,,9.48,1.3,,,,3.5,,,0,0,0,0,0,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,No,,,,,,
NEWBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newburyport,molly ettenborough,8664,7549,7549,Curbside,,,Curbside,Bi-weekly,Yes,Yes,64,None,5,33,Both,Both,Both,Neither,Yes,,,,,,,Yes,3,35,,Yes,,Yes,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,5235,Yes,,Yes,63.46,2603.78,,,,,0.74,27.75,44.7,,9.21,,,1020,33.7,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,2,Yes,Yes,We now have 2 days per week for drop off recycling and one Saturday per month for drop off recycling.,,
Newton,Kimberly Ritcey,30900,30900,30900,Curbside,Yes,64,Both,Weekly,Yes,Yes,64,None,41,,Both,Both,Neither,Neither,Yes,,,,,,Yes,,,,,,,Yes,Yes,,No,,Yes,,,Yes,18452.71,No,0,No,72,10344.41,0,,1149.59,152.66,25.24,127.42,,,,,,7400,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,26,No,No,"Our recycling is not only encouraged but mandate for Non profits if they wish to participate in Curbside pickups. In addition we do collect hazardous waste including chemicals, acids, bases, oxidizers and photography chemicals.",,
Norfolk,Robert J. McGhee,3706,1263,1263,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,,Yes,,,65,,Yes,,,,,,,,,,,,,,,,622,No,242,Yes,,0,135.42,105.45,0,231.1,28.5,94,23,71,,,,262,8,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Year Round,Yes,28,No,Yes,,,
NORTH ADAMS,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Andover,Bruce Thibodeau,11150,8100,8100,Curbside,,,Curbside,Bi-weekly,Yes,,,None,5,32,Both,Both,Neither,Neither,Yes,,,,,,,Yes,8,32,,Yes,,,,,,,,,,,8250,Yes,,No,63.04,1505,,,,,,,,,,,,540,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,2,Yes,Yes,,,
North Attleborough,Michele Bernier,10888,8741,8772,Both,,,Both,Weekly,Yes,Yes,96,None,7,38,Both,Both,Neither,Neither,,Yes,,Yes,225,,Yes,,,,,,,Yes,Yes,Yes,No,,Yes,,,Yes,4379.45,Yes,,Yes,77.52,3020.59,0,25.62,9.4,1.65,21.32,57.43,0.88,32.37,4.57,,,613.44,2.02,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,Yes,2,No,No,,,
North Brookfield,Christine Lentz,2313,1254,1254,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Both,Neither,,,,Yes,,,Yes,,,,,,,Yes,Yes,,No,,Yes,Yes,,,490.66,Yes,,Yes,77.25,,12.35,74,81.61,65.13,0,3,18,,,,,110,5,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,Yes,1,Yes,No,,,
NORTH READING,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northampton,Susan Waite,11583,3106,3106,Drop-off,,,Drop-off,,,,,Drop-off,,52,Neither,Neither,Both,Neither,,Yes,,Yes,25,,Yes,,,,,,,,,,,,Yes,Yes,,Yes,976.08,No,88.18,Yes,68.96,0,0,0,632,342,18.29,109.55,13,0.53,,,159.89,482,7.51,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Year Round,Yes,1,No,Yes,"Under Section 2 (Municipal Trash Program) I selected ""none"" for the multifamily /apartments for our trash and recycling programs, but individual households in those dwelling may participate in the municipal program with the purchase of a transfer station sticker.Under Section 7 (Program Elements), small businesses are allowed to participate in the municipal program, but we have not actively promoted the program this year (if that is what is meant by encouragement).Under Section 8 (Other Recycled Materials) the DPW has not yet calculated yard waste totals for CY 2015. I have used last year's number.Also under Section 8: (Basic Recycled Materials), statistics from the Springfield MRF for the period July-December 2015, are not yet available. I have doubled the figures from the first half of 2015.",,
Northborough,Fred Litchfield,5873,4911,4911,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,Yes,,,Yes,1954.17,Yes,,Yes,64,1172.48,,,,,0.46,14.29,,,,,,951.15,,1 or 2,0,0,0,1 or 2,Year Round,0,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,0,,0,Yes,1,No,No,"1) There is a private hauler in licensed to collect trash and recycling in Northborough with approximately 962 customers, but their customers can also use Town bags if they choose to. 2) The Town only holds one HHWD event per year as a result of a severe drop in participation once a $10 per box fee was implemented in 2005. 3) The trash and recycling reported above does not include school amounts because the School Department hired a separate contractor to collect trash and recycling as of July 1, 2011. 4) The amount of yard waste disposed of in 2015 was less than the previous year as the DPW had cleaned out an area which accumulated yard waste over several years. 5) The Town offered all condominiums the opportunity to join the PAYT program when it started in 2003 but only some have joined.",,
Northbridge,Theodore Kozak,5838,0,600,None,,,Drop-off,,,,,None,12,34,Recycling,Recycling,Recycling,Recycling,,,Yes,,,0,,,,,,,,,,,,,Yes,,,Yes,0,Yes,,No,,,0,23,26,55,2,6,,,,,,,4,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,,0,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,,Once a Week,No,,,,,,
Northfield,Jan Ameen,1590,901,901,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Neither,Neither,Neither,Yes,Yes,,Yes,5,,Yes,,,,,,,,,,,,,Yes,,Yes,378.76,No,0,No,70,,,,138.52,90.59,,32.72,2.45,,,,117,,3.04,0,1 or 2,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,No,,,,,,
NORTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwell,Brian Flynn,3451,3451,3451,Curbside,,,Curbside,Weekly,Yes,,,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,Yes,4,39,,Yes,,,,,,,,,,,3522.66,Yes,,No,72.78,1217.07,0,0,0,0,,75.8,2.85,,,,,,54,Year Round,1 or 2,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Yes,1,No,Yes,,,
Norwood,Doris Burtman,13233,10153,10200,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,35,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,Yes,6631.61,No,265,Yes,,2701,,,,,34.48,70.98,39.2,,15.55,,,2225,11.85,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,,Year Round,No,,,,,,
Oak Bluffs,Richard Combra JR,2731,2731,2021,Curbside,,,Drop-off,,Yes,,,None,,52,Both,Both,Neither,Trash,,Yes,,Yes,25,,,,,,,,,,,,,,,,,,753.76,No,0,Yes,146.5,,72.92,54.06,,131.17,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,0,0,0,No,,,,Medical waste as in old prescriptions are collected at the Oak Bluffs Police Station whenever they are open and front door is unlockedSharps are collected at Martha's Vineyard Hospital Lab anytime they are open,,
OAKHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,Jan Ameen,2455,1231,1231,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Recycling,Recycling,Neither,Yes,Yes,,,28,,Yes,,,,,,,,,,,,,,,Yes,551,No,165.32,Yes,80.1,306,,,,,,32,7.6,,,,5,80,9,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,0,Year Round,Yes,1,Yes,Yes,,,
Orleans,"Frank Nichols, PE",5300,3315,3473,Drop-off,,,Drop-off,,,,,None,,52,Neither,Trash,Neither,Trash,Yes,Yes,Yes,,95,5,,,,,,,,Yes,Yes,,No,,,Yes,,Yes,2105,No,626.5,Yes,58,,,197,200.5,401.5,,7.2,,,15.51,,,336,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Yes,1,No,Yes,,,
Otis,James Crandall,1701,1200,1200,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,Yes,Yes,,,50,,,,,,,,,Yes,Yes,,Yes,32,,,Yes,,518.88,No,146.92,Yes,77,,,,91.76,75.56,,,1.1,,,,,3,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,No,,,,,,
Oxford,Sean Divoll,3896,0,0,None,,,None,,,,,None,,26,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,0,Yes,,No,,0,0,0,0,0,0,0,0,0,0,0,0,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
PALMER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paxton,Sheryl Lombardi,1220,1200,1200,Curbside,,,Curbside,Weekly,,Yes,14,None,,52,Both,Both,Both,Neither,,Yes,,,170,,,Yes,5,10,,Yes,,Yes,,Yes,,,Yes,Yes,Yes,Yes,1259,No,0,Yes,64,168,,,168,,0.77,3.54,0.02,,,,,,0.29,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,4,Yes,No,,,
Peabody,Bert Maria,21313,19295,19295,Both,,,Both,Weekly,,,,None,12,52,Both,Both,Neither,Neither,Yes,,,,,,,Yes,3,36,,Yes,,Yes,,Yes,,,,,,,16729.12,Yes,,No,62,,,,1875.5,1619.61,,726.45,8.1,,,,,2476.59,90.3,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,Yes,1,Yes,No,,,
PELHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pembroke,Edwin J. Thorne,6500,6500,6500,Curbside,,,Both,Weekly,Yes,Yes,64,None,1,52,Both,Recycling,Neither,Neither,,Yes,,,200,,,Yes,4,32,Yes,,No,,,,,,,Yes,Yes,,6000,Yes,,No,55,13.68,0,10.41,0,53.55,8.13,0,30.21,32.61,4.16,1.93,0,542,71.5,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,2,No,No,,,
PEPPERELL,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Sandy Totter,320,320,320,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,Yes,,,25,,,,,,,,,,,,,,,,,Yes,215.77,No,11.34,Yes,,,,,25.98,16.01,,17.81,,,,,,,,0,0,0,0,0,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,No,,,,,,
Petersham,Fifi Scoufopoulos,531,315,315,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,Yes,,Yes,25,,Yes,,,,,,,,,,,,,Yes,,,217.96,Yes,,Yes,100,,,,60.98,50.49,,15.85,1.3,,,,,,,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,Year Round,,Year Round,No,,,,Some rigid plastics are included in containers.,,
Phillipston,Matt Pearson,807,285,285,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,Yes,,,204.68,Yes,,Yes,120,95.8,,,,,,19,2.77,,,,,,1.96,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,No,,,,,,
Pittsfield,Matthew Kerwood,16000,16000,16000,Both,,,Both,Weekly,,,,None,2,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,Yes,Yes,Yes,No,,,,,Yes,14625.08,No,0,Yes,79,,,,1066.76,680.48,,,,,,,,,,0,0,0,0,1 or 2,1 or 2,0,1 or 2,0,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,0,0,0,0,0,Yes,1,No,No,,,
Plainfield,Kathleen A. Casey,294,166,166,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,,,Yes,,,Yes,,,,,,,Yes,Yes,,No,,,,,Yes,105,No,15.2,Yes,72,,,,27.5,21.6,0.75,7.3,2.2,,,,,,1.3,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,No,,,,"The Town of Plainfield does not have a website. Community events are shared through a local town newsletter and posted throughout the community - Town Offices, churches, post office, businesses, and the Transfer Station. Information concerning Transfer Station Fees and Household Hazardous Waste Collection events are additionally hosted on the HRMC website for the Town. Recycling news articles are frequently posted in the Town newsletter by the town's HRMC representative.",,
Plainville,Deborah J. Revelle,3656,1864,1864,Curbside,,,Both,Weekly,Yes,,,None,2,48,Both,Both,Neither,Neither,,Yes,,Yes,120,,Yes,,,,,,,,,,,,Yes,,,Yes,1321,Yes,,Yes,70,691,,,1,,,14,0.09,,,,,260,8,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,Yes,1,No,No,"Recycling - out of 3656 households in Plainville, 1864 are on the municipal collection program, it is therefore assumed that 1792 have private collection. Out of the 1792 that have private collection, it has been confirmed that 814 multi family units have recycling service. Either recycling carts or recycling only dumpsters are located on the multi unit properties.",,
Plymouth,SANDRA STRASSEL,34462,10048,11564,Both,Yes,65,Both,Bi-weekly,Yes,Yes,95,None,,52,Both,Both,Neither,Neither,,Yes,,Yes,185,,Yes,,,,,,,,,,,,Yes,,,Yes,6343,No,0,Yes,66.63,,,257,625.6,470.4,,343.24,29.03,,,,,650,38.88,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Yes,2,Yes,Yes,Curbside Service is not available to Apartment or Condominium complexes with more than 4 residences. The only available option for these locations is drop-off.,,
PLYMPTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princeton,Terri Longtine,1469,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,,0,No,0,No,,0,0,0,0,0,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,4,Yes,No,"Drop off services available year round to town residents for recycled materials, other recycled materials, CHARM and bulky waste at the Wachusett Watershed Regional Recycling Center. HHW collections are located at the Wachusett Watershed Regional Recycling Center for all households and are supported, in part, by the town.",,
Provincetown,David Panagore,3085,2654,2654,Curbside,,,Curbside,Weekly,Yes,,,None,12,52,Both,Both,Neither,Both,Yes,Yes,,,50,,,Yes,2,32,Yes,,No,,,,,,Yes,Yes,,,2800.82,Yes,,Yes,37,1159.86,,192,,,,13,,15,1.16,,,,5,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,,0,Yes,1,Yes,No,This is the first year that we are collecting mattresses. So far it is a successful program.,,
Quincy,john sullivan,42000,28000,42000,Curbside,,,Curbside,Weekly,Yes,,,None,26,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,Yes,26401,Yes,,No,70.06,4910.7,,,,,,30.51,69.8,,,,,1080,250,1 or 2,0,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,Yes,2,No,No,,,
Randolph,John McVeigh,11564,9800,9800,Both,,,Curbside,Bi-weekly,Yes,Yes,96,None,2,14,Both,Both,Neither,Neither,,Yes,,,230,,,,,,,,,Yes,,Yes,,,,,,,10000,No,0,No,,3000,,,,,,,,,,,,160,20,1 or 2,Once a Month,Once a Month,Once a Month,1 or 2,Year Round,Once a Month,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,,Year Round,Yes,1,No,Yes,We appreciate any assistance number calculations regarding e-waste and yardwaste,,
RAYNHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,Michael O'Halloran,8939,8287,8287,Curbside,,,Curbside,Weekly,,,,None,5,35,Both,Both,Neither,Neither,Yes,,,,,,,Yes,4,30,,Yes,,Yes,,Yes,,,,,,,7153.31,Yes,,No,62.56,,,,1712.48,1386.32,5,17.34,,,,,,5013.12,51.23,1 or 2,1 or 2,Year Round,Year Round,Year Round,0,1 or 2,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,,1 or 2,Yes,1,No,No,,,
REHOBOTH,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVERE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCHESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockland,Janice McCarthy,6100,4420,4420,Curbside,,,Both,Weekly,Yes,,,None,,52,Both,Both,Neither,Neither,,Yes,,,272,,,,,,,,,Yes,,Yes,,,Yes,,,Yes,4131,No,180,Yes,66.63,1052,,,,,,20,0.12,,2.06,,,315,29.2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,No,,,,,,
Rockport,Mr.Joseph Parisi,4028,3236,3236,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,Yes,Yes,,Yes,160,,Yes,,,,,,,Yes,Yes,,No,,,Yes,,,2914.18,Yes,,Yes,77.5,0,0,0,444.04,282.94,,52.04,20,,,,,1000,20,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,No,,,,,,
Rowe,Jan Ameen,216,200,200,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,Yes,,Yes,105.96,No,45.74,No,68,,,,24.48,16.74,,13.7,,,,,,,2.35,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,No,,,,,,
ROWLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royalston,Philip Leger,567,376,376,Drop-off,,,Drop-off,,,,,None,,4,Both,Both,Both,Both,Yes,Yes,Yes,Yes,15,0,Yes,,,,,,,,,,,,,Yes,,Yes,130,No,155,Yes,120,,,,43,30,,20,3.7,,,,,,1.4,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,No,,,,,,
Russell,Nancy Mezger,960,370,370,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,Yes,,,35,,Yes,,,,,,,,,,,,,,,,382.47,Yes,,Yes,,,,,40.68,40,,,,,,,,,,0,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
Rutland,Gary Kellaher,2632,0,0,None,,,None,,,,,None,,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,Yes,,Yes,0,No,0,Yes,,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,,Year Round,No,,,,We are private subscription Community,,
Salem,Julie Rose,18689,15000,14300,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,Curbside,6,47,Both,Both,Both,Neither,Yes,,,,,,,Yes,1,64,,Yes,,Yes,Yes,,Yes,19,,,,,11922,Yes,,No,67.5,3113,,,,,66.3,1,6.8,,,,116.2,500,75,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,1 or 2,0,1 or 2,1 or 2,,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,,Between 3 & 10,Yes,1,No,Yes,,,
SALISBURY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandisfield,Willie Morales,593,593,593,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Both,Both,,Yes,,,50,,,,,,,,,,,,,,,,,,8,Yes,,No,,,,,1.3,1.3,,,,,,,,,,0,1 or 2,Once a Month,Once a Month,1 or 2,0,1 or 2,1 or 2,,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,Between 3 & 10,,Once a Month,No,,,,"Many of the collection itemized above are not properly being tracked, this is part of the reason we are needing assistance.",,
